laanwj,2021-09-09 12:22:56,"Concept ACK, thanks for adding tests",https://github.com/bitcoin/bitcoin/pull/22867#issuecomment-916043186,916043186,
fanquake,2021-09-10 06:21:24,cc @ariard @darosior ,https://github.com/bitcoin/bitcoin/pull/22867#issuecomment-916661393,916661393,
DrahtBot,2021-09-11 03:40:20,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#23121](https://github.com/bitcoin/bitcoin/pull/23121) ([policy] check ancestor feerate in RBF, remove BIP125 Rule2 by gl",https://github.com/bitcoin/bitcoin/pull/22867#issuecomment-917331926,917331926,
mjdietzx,2021-09-26 20:45:54,Rebased,https://github.com/bitcoin/bitcoin/pull/22867#issuecomment-927367410,927367410,
pg156,2021-10-02 22:21:43,Concept ACK. Tested on macOS Big Sur.,https://github.com/bitcoin/bitcoin/pull/22867#issuecomment-932828013,932828013,
mjdietzx,2021-10-28 21:11:33,Addressed @pg156's comments/improvements and rebased.,https://github.com/bitcoin/bitcoin/pull/22867#issuecomment-954221106,954221106,
mjdietzx,2021-11-21 15:27:11,Rebased,https://github.com/bitcoin/bitcoin/pull/22867#issuecomment-974837509,974837509,
mjdietzx,2021-11-22 16:03:40,I better organized the commits and improved the commit messages. Very minor / no behavior change,https://github.com/bitcoin/bitcoin/pull/22867#issuecomment-975675231,975675231,
pg156,2021-10-05 15:53:24,"This assumes the wallet has at least two utxos, and therefore requires another test creating the utxos to run beforehand. ",https://github.com/bitcoin/bitcoin/pull/22867#discussion_r722382769,722382769,test/functional/feature_rbf.py
pg156,2021-10-05 16:01:46,"Minor suggestion, otherwise it is possibly unclear if 0 is opt-in and 1 is opt-out, or vice versa.\n```suggestion\n        assert_equal(True, self.nodes[0].getmempoolentry(optin_parent_tx[""txid""])['bip125-replaceable'])\n```",https://github.com/bitcoin/bitcoin/pull/22867#discussion_r722390329,722390329,test/functional/feature_rbf.py
pg156,2021-10-05 16:09:32,"As `input_utxos` is a pair instead of arbitrary length, does a function name such as `create_double_input_self_transfer` or `create_pair_input_self_transfer` indicate the intention better?",https://github.com/bitcoin/bitcoin/pull/22867#discussion_r722396875,722396875,test/functional/feature_rbf.py
mjdietzx,2021-10-05 20:48:57,I think this is a good suggestion. I'll make this change as suggested,https://github.com/bitcoin/bitcoin/pull/22867#discussion_r722681771,722681771,test/functional/feature_rbf.py
mjdietzx,2021-10-05 20:49:41,"Good suggestion, I'll also followup w/ this",https://github.com/bitcoin/bitcoin/pull/22867#discussion_r722682751,722682751,test/functional/feature_rbf.py
mjdietzx,2021-10-28 21:09:05,Done in 6804fc5,https://github.com/bitcoin/bitcoin/pull/22867#discussion_r738777187,738777187,test/functional/feature_rbf.py
mjdietzx,2021-10-28 21:10:00,Done in e6c88a3,https://github.com/bitcoin/bitcoin/pull/22867#discussion_r738777709,738777709,test/functional/feature_rbf.py
mjdietzx,2021-10-28 21:10:59,"This seems to be a somewhat common pattern, I see other tests that rely on there being some utxos in the wallet. So I'm going to leave it for now. I do realize that these sub-tests are not totally stateless bc of this. If anyone thinks it is a big deal and should be fixed lmk and I'll do it.",https://github.com/bitcoin/bitcoin/pull/22867#discussion_r738778281,738778281,test/functional/feature_rbf.py
