jonasschnelli,2017-07-06T13:29:38Z,"Nice.\nConcept ACK.",https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313396180,313396180,
jnewbery,2017-07-06T13:45:12Z,Concept ACK. Will review later.,https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313400354,313400354,
promag,2017-07-07T09:43:19Z,"IMO we could somehow share the same data between the server table and the client table so that none of this would be necessary. Don't take me wrong, but parsing code feels bad practice. Beside that, keeping these tables in sync could very well be avoided. I could work in an alternative, unless I'm missing something.",https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313637174,313637174,
laanwj,2017-07-07T10:05:46Z,"@promag That discussion is in https://github.com/bitcoin/bitcoin/issues/10751#issuecomment-313351532\n\nAnd yes, in the long run there are absolutely better solutions (ideally the cli would have none of this information and requests it from the server), but in the short term I think adding this check is good.\n\nAnyhow I don't care deeply if this doesn't get merged, I use this script myself, a",https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313641856,313641856,
promag,2017-07-07T10:14:53Z,"Thanks for pointing that out.\n\n@laanwj could this be executed in pre-commit hook?",https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313643649,313643649,
laanwj,2017-07-07T11:40:33Z,"> @laanwj could this be executed in pre-commit hook?\n\nSure, would be a matter of adding the line to execute it to the `.git/hooks/pre-commit` or `.git/hooks/pre-push` script.",https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313658859,313658859,
promag,2017-07-07T14:15:54Z,@laanwj another PR or care to add it here?,https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313694531,313694531,
laanwj,2017-07-08T07:00:40Z,"You have to do it locally. Hooks are not part of the repository (for\nsecurity reasons, among others.) Shipping some examples of hooks would work\nbut that's definitely out of scope here.\n\nOn Jul 7, 2017 4:15 PM, ""João Barbosa"" <notifications@github.com> wrote:\n\n> @laanwj <https://github.com/laanwj> another PR or care to add it here?\n>\n> —\n> You are receiving this because you were mentioned",https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313839125,313839125,
ryanofsky,2017-07-08T10:15:21Z,"I think this might be simpler and more robust if it were written as a c++ unit test that just accesses the global variables directly, instead of a python tool that has to parse c++ with regexes.",https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313847227,313847227,
promag,2017-07-08T11:26:47Z,@laanwj reason?,https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-313850385,313850385,
jnewbery,2017-07-10T13:03:32Z,@laanwj did you close this because you're planning to propose an alternative?,https://github.com/bitcoin/bitcoin/pull/10753#issuecomment-314098883,314098883,
