gmaxwell,2019-05-15 04:42:10,This sounds right to me.,https://github.com/bitcoin/bitcoin/pull/16026#issuecomment-492500888,492500888,
laanwj,2019-05-29 11:54:51,utACK 5fefdb3286b617a74dd395381b1be0b29f21b0e6,https://github.com/bitcoin/bitcoin/pull/16026#issuecomment-496904811,496904811,
DrahtBot,2019-06-18 05:07:59,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#16227](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/16227.html) (Refactor CWallet's inheritance chain by ach",https://github.com/bitcoin/bitcoin/pull/16026#issuecomment-502948914,502948914,
meshcollider,2019-06-18 23:42:04,re-utACK https://github.com/bitcoin/bitcoin/pull/16026/commits/40696620703e7339957177e95a9acb1d8be80e0e,https://github.com/bitcoin/bitcoin/pull/16026#issuecomment-503351315,503351315,
kallewoof,2019-06-20 04:02:17,re-ACK 0c39c9d,https://github.com/bitcoin/bitcoin/pull/16026#issuecomment-503832621,503832621,
meshcollider,2019-06-20 08:43:44,@achow101 I think your force push reversed the parameter reordering you did a couple of days ago,https://github.com/bitcoin/bitcoin/pull/16026#issuecomment-503936920,503936920,
achow101,2019-06-20 15:02:17,"> @achow101 I think your force push reversed the parameter reordering you did a couple of days ago\n\nOops. Should be fixed now.",https://github.com/bitcoin/bitcoin/pull/16026#issuecomment-504061160,504061160,
meshcollider,2019-06-21 07:43:59,re-utACK https://github.com/bitcoin/bitcoin/pull/16026/commits/a49503402b6bc21e3878e151c07529941d36aed0,https://github.com/bitcoin/bitcoin/pull/16026#issuecomment-504327343,504327343,
Empact,2019-05-15 19:09:58,"nit: as an out arg, it'd be somewhat more clear to place `script_out` towards the end. `AddAndGetDestinationForScript`'s placement is based on the same not being an out arg.",https://github.com/bitcoin/bitcoin/pull/16026#discussion_r284408418,284408418,src/rpc/util.cpp
laanwj,2019-05-29 11:52:04,"yeah, that seems to en the convention, usually\nwish C++ had tuple unpacking and it was unnecessary to bother with 'output arguments'\n",https://github.com/bitcoin/bitcoin/pull/16026#discussion_r288525895,288525895,src/rpc/util.cpp
meshcollider,2019-06-05 12:03:19,`&`,https://github.com/bitcoin/bitcoin/pull/16026#discussion_r290703293,290703293,src/rpc/util.cpp
achow101,2019-06-05 13:12:33,done,https://github.com/bitcoin/bitcoin/pull/16026#discussion_r290729886,290729886,src/rpc/util.cpp
achow101,2019-06-18 15:38:09,Done,https://github.com/bitcoin/bitcoin/pull/16026#discussion_r294891441,294891441,src/rpc/util.cpp
kallewoof,2019-06-19 13:39:35,"This comment (`number required`) is confusing. Reading code I understand it's the threshold for sigs (k in k-of-n). Maybe ""from a given list of public keys, number of required signatures, and the address type""?",https://github.com/bitcoin/bitcoin/pull/16026#discussion_r295302106,295302106,src/rpc/util.cpp
kallewoof,2019-06-19 13:46:28,"Unless I'm mistaken, convention is to import system libs first, then own stuff. `decimal` was imported here, though, so grain-of-salt.",https://github.com/bitcoin/bitcoin/pull/16026#discussion_r295305631,295305631,test/functional/rpc_createmultisig.py
achow101,2019-06-19 22:05:26,A bunch of other tests do system libs after our own :man_shrugging: ,https://github.com/bitcoin/bitcoin/pull/16026#discussion_r295543481,295543481,test/functional/rpc_createmultisig.py
achow101,2019-06-19 22:05:49,Done,https://github.com/bitcoin/bitcoin/pull/16026#discussion_r295543604,295543604,src/rpc/util.cpp
