fanquake,2021-05-31 10:05:44,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22109#issuecomment-851379531,851379531,
hebasto,2021-05-31 10:40:57,"Concept ACK.\n\n```\n$ git grep -n -i freenode\ndoc/README.md:34:* Ask for help on [#bitcoin](https://webchat.freenode.net/#bitcoin) on Freenode. If you don't have an IRC client, use [webchat here](https://webchat.freenode.net/#bitcoin).\ndoc/README.md:72:* Discuss general Bitcoin development on #bitcoin-dev on Freenode. If you don't have an IRC client, use [webchat here](https://webchat.free",https://github.com/bitcoin/bitcoin/pull/22109#issuecomment-851399126,851399126,
MarcoFalke,2021-05-31 10:42:24,"> Hasn't #bitcoin and #bitcoin-dev moved to Libera as well?\n\nNo idea. They are still active and haven't been deleted by Freenode staff yet.",https://github.com/bitcoin/bitcoin/pull/22109#issuecomment-851399924,851399924,
MarcoFalke,2021-05-31 10:43:56,"Also they are only for registered users/invite-only on Libera Chat, so I won't change those links",https://github.com/bitcoin/bitcoin/pull/22109#issuecomment-851400691,851400691,
laanwj,2021-05-31 13:54:31,ACK fa128a2a0be247478ea9f10aeab09912aaffb4fe,https://github.com/bitcoin/bitcoin/pull/22109#issuecomment-851507708,851507708,
jonatack,2021-06-27 14:44:16,"> Hasn't `#bitcoin` and `#bitcoin-dev` moved to Libera as well?\n\nUpdated in #22349!",https://github.com/bitcoin/bitcoin/pull/22109#issuecomment-869174989,869174989,
flack,2021-05-31 10:27:04,"nit: to be consistent with line 31 above, `the` shouldn't be part of the link",https://github.com/bitcoin/bitcoin/pull/22109#discussion_r642387270,642387270,doc/README.md
MarcoFalke,2021-05-31 10:37:43,done,https://github.com/bitcoin/bitcoin/pull/22109#discussion_r642392950,642392950,doc/README.md
hebasto,2021-05-31 10:43:20,"I'm not a translation maintainer, only a coordinator for Ukrainian translation.",https://github.com/bitcoin/bitcoin/pull/22109#discussion_r642395844,642395844,doc/translation_process.md
hebasto,2021-05-31 10:44:27,"Ah, sorry. I am an administrator.",https://github.com/bitcoin/bitcoin/pull/22109#discussion_r642396419,642396419,doc/translation_process.md
MarcoFalke,2021-05-31 10:45:54,Fixed,https://github.com/bitcoin/bitcoin/pull/22109#discussion_r642397111,642397111,doc/translation_process.md
MarcoFalke,2021-05-31 11:31:29,"Ok, restored",https://github.com/bitcoin/bitcoin/pull/22109#discussion_r642420139,642420139,doc/translation_process.md
laanwj,2021-05-31 14:08:52,"After discussing on IRC with @hebasto :\nRather than mention individual people here to contact, we might want to suggest people to ask in the channel. I generally prefer this, at least.\nAlso, as we now have a GUI repository, they could file an issue there.",https://github.com/bitcoin/bitcoin/pull/22109#discussion_r642516376,642516376,doc/translation_process.md
MarcoFalke,2021-05-31 15:27:32,"The ""default"" way to ask for help is already to connect to IRC or file an issue, so I've removed this sentence completely.",https://github.com/bitcoin/bitcoin/pull/22109#discussion_r642563096,642563096,doc/translation_process.md
