dcousens,2017-06-16T03:58:29Z,"Why bother with the class?\nPractically a namespace at this point?",https://github.com/bitcoin/bitcoin/pull/10600#issuecomment-308926888,308926888,
promag,2017-08-28T21:33:40Z,Use doxygen compatible comments as per developer notes?,https://github.com/bitcoin/bitcoin/pull/10600#discussion_r135641342,135641342,src/wallet/feebumper.h
promag,2017-08-28T21:36:01Z,One line?,https://github.com/bitcoin/bitcoin/pull/10600#discussion_r135641866,135641866,src/wallet/feebumper.h
ryanofsky,2017-08-29T09:19:24Z,"> It's in the original code, but is it necessary to lock cs_main? The same applies for other functions.\n\nGood catch! Fixed in 6a0131608e738f7fcf8ae9efb8ea54bf749ffe85. In the other places cs_main is required for preconditionChecks. Note that in #10973, I replace accesses to `cs_main` global throughout wallet code with `ipc_locked` locals, so it is immediately obvious where locking is and isn't",https://github.com/bitcoin/bitcoin/pull/10600#discussion_r135736764,135736764,src/wallet/feebumper.cpp
ryanofsky,2017-08-29T09:44:31Z,"> One line?\n\nI use clang-format for everything, and avoid manual formatting, so that's where this comes from. Would prefer not to change unless someone thinks this is a problem.",https://github.com/bitcoin/bitcoin/pull/10600#discussion_r135742545,135742545,src/wallet/feebumper.h
ryanofsky,2017-08-29T09:46:04Z,"> Use doxygen compatible comments as per developer notes?\n\nDone in db134b451b7c5871e12bf7ef947d7745446e96f4",https://github.com/bitcoin/bitcoin/pull/10600#discussion_r135742966,135742966,src/wallet/feebumper.h
ryanofsky,2017-08-29T09:46:17Z,"> At least in the headers we could fix to snake_case, it doesn't make the patch bigger. WDYT?\n\nDone in db134b451b7c5871e12bf7ef947d7745446e96f4",https://github.com/bitcoin/bitcoin/pull/10600#discussion_r135743008,135743008,src/wallet/feebumper.h
TheBlueMatt,2017-09-06T23:00:17Z,Can you document the exact locking requirements in GetWalletTx in wallet.h or wallet.cpp just to make sure someone doesnt do some crazy-ass change in the future and blow up the lockorder?,https://github.com/bitcoin/bitcoin/pull/10600#discussion_r137411519,137411519,src/wallet/feebumper.cpp
TheBlueMatt,2017-09-06T23:03:29Z,"Yes, please do this, but also please keep names consistent between the cpp and h.",https://github.com/bitcoin/bitcoin/pull/10600#discussion_r137412047,137412047,src/wallet/feebumper.h
ryanofsky,2017-09-06T23:43:20Z,Done in 52301dbe0ee05c6bb8b5e187d7d5384a7f7bef5c,https://github.com/bitcoin/bitcoin/pull/10600#discussion_r137417403,137417403,src/wallet/feebumper.h
ryanofsky,2017-09-06T23:43:49Z,"> Can you document the exact locking requirements in GetWalletTx in wallet.h or wallet.cpp just to make sure someone doesnt do some crazy-ass change in the future and blow up the lockorder?\n\nDone in 3a7c0dfafbd3b8fc1e32f40d98a7614bc190635d. I could go further and assert cs_wallet lock is held in GetWalletTx, though that is getting pretty far afield. Could open a separate PR.",https://github.com/bitcoin/bitcoin/pull/10600#discussion_r137417465,137417465,src/wallet/feebumper.cpp
MarcoFalke,2017-11-15T17:20:09Z,nit: `txid_dummy`?,https://github.com/bitcoin/bitcoin/pull/10600#discussion_r151194487,151194487,src/qt/walletmodel.cpp
MarcoFalke,2017-11-15T17:33:15Z,nit: `total_fee`,https://github.com/bitcoin/bitcoin/pull/10600#discussion_r151197799,151197799,src/qt/walletmodel.cpp
