jonasschnelli,2016-03-15T09:47:50Z,Concept ACK.\nNeeds rebase.\n,https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-196744657,196744657,
MarcoFalke,2016-03-15T09:54:52Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-196746530,196746530,
btcdrak,2016-03-15T10:42:57Z,@jonasschnelli rebased\n,https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-196761477,196761477,
laanwj,2016-03-15T14:06:37Z,"Concept ACK. I had an earlier try at this with #6260, but tt's good that there is an alternative in the form of a mailing list now - that was pretty much the only concern.\n",https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-196836021,196836021,
paveljanik,2016-03-15T19:18:12Z,Concept ACK.\n,https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-196981745,196981745,
maaku,2016-03-16T17:39:15Z,"This code is actually very useful for other projects that build off of bitcoin code base, and could be useful within the context of bitcoin if reconfigured. Perhaps just disable the code, not remove it entirely?\n",https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197449839,197449839,
laanwj,2016-03-16T19:16:42Z,"> This code is actually very useful for other projects that build off of bitcoin code base\n\nSorry, but I don't think that's a valid reason to maintain code that we shouldn't have anymore. And I'm sure there's much better ways of doing this in derived projects as well, which don't rely on one network-wide secret key.\n",https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197497279,197497279,
rebroad,2016-03-17T11:02:07Z,concept ACK\n,https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197820794,197820794,
achow101,2016-03-17T14:34:27Z,So what has changed between now and several months ago when this was last attempted? Aren't the same reasons for not removing the alerts then still applicable today?\n,https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197905299,197905299,
laanwj,2016-03-17T15:06:52Z,"> Aren't the same reasons for not removing the alerts then still applicable today?\n\nJust read #6260 and the OP.\nA few months ago pretty much everyone was in favor of this, but there was no alternative notification system yet. There is now a mailing list for alerts instead.\n\nThe alert system suffers from many problems:\n- Philosophically, there should not be a key with special meaning on the P",https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197924551,197924551,
achow101,2016-03-17T15:55:46Z,"A mailing list would work for this specific client, but what about network wide issues like a blockchain fork like the fourth of July fork?\n\nAlso, since the alert system is network wide, what will be done about other clients that still implement the alerts?\n",https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197945363,197945363,
laanwj,2016-03-17T16:28:37Z,"> A mailing list would work for this specific client, but what about network wide issues like a blockchain fork like the fourth of July fork?\n\nNetwork wide issues will also be posted to the mailing list. Also, other software can have their own mailing lists. Decentralization, you know. No one should be trusted with central responsibility to send alerts over the network.\n\n> what will be done ab",https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197960977,197960977,
btcdrak,2016-03-17T16:42:39Z,"@achow101 Please note the alert system was not even used for the ""July fork"".\n\nIf Mark Karpeles has the key, how do we know he wasn't forced to hand it over to the Japanese police or that they have obtained it from accessing his computers? At this stage the key should be considered compromised at the very least, but in any case, a network wide, privileged messaging system is pretty outrageous fo",https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197967429,197967429,
jl2012,2016-03-17T16:45:27Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197969160,197969160,
NicolasDorier,2016-03-17T16:49:42Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/7692#issuecomment-197970471,197970471,
