practicalswift,2018-04-18T13:03:27Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/13011#issuecomment-382378760,382378760,
jimpo,2018-05-13T02:42:56Z,"If performance is a concern in contexts where the precomputed value isn't needed, couldn't this just lazily compute and cache the witness hash? There'd probably have to be some concurrency handling, I suppose.",https://github.com/bitcoin/bitcoin/pull/13011#issuecomment-388596940,388596940,
sipa,2018-05-13T02:46:18Z,"avoid ""some concurrency handling"" was the reason for making these fields const in the first place.\n\nThe alternative is either indirections (through atomic pointers) or mutexes all over the place.\n\nThe solution to not computing it in places where it isn't needed is not using a type that caches these values.",https://github.com/bitcoin/bitcoin/pull/13011#issuecomment-388597043,388597043,
promag,2018-05-13T07:07:00Z,utACK fac1223.,https://github.com/bitcoin/bitcoin/pull/13011#issuecomment-388606259,388606259,
jimpo,2018-05-17T18:40:28Z,utACK fac1223,https://github.com/bitcoin/bitcoin/pull/13011#issuecomment-389967563,389967563,
sipa,2018-05-17T20:43:36Z,utACK fac1223a568fa1ad6dd602350598eed278d115e8,https://github.com/bitcoin/bitcoin/pull/13011#issuecomment-390005021,390005021,
danielsam,2018-05-21T18:47:30Z,utACK [fac1223](https://github.com/bitcoin/bitcoin/commit/fac1223a568fa1ad6dd602350598eed278d115e8),https://github.com/bitcoin/bitcoin/pull/13011#issuecomment-390746432,390746432,
laanwj,2018-05-23T17:26:10Z,utACK fac1223a568fa1ad6dd602350598eed278d115e,https://github.com/bitcoin/bitcoin/pull/13011#issuecomment-391431614,391431614,
ryanofsky,2018-04-17T22:21:53Z,"Could use `MakeUnique<const uint256>(SerializeHash(*this, SER_GETHASH, 0));` here",https://github.com/bitcoin/bitcoin/pull/13011#discussion_r182260079,182260079,src/primitives/transaction.cpp
ryanofsky,2018-04-17T22:25:39Z,"I believe you could remove some of the boilerplate and repetition here using member initialization in the header:\n\n```\nconst std::unique_ptr<const uint256> m_witness_hash = ComputeWitnessHash();\n```\n\nIt would be nice to do this for the other members, too.",https://github.com/bitcoin/bitcoin/pull/13011#discussion_r182260771,182260771,src/primitives/transaction.cpp
promag,2018-04-18T07:01:24Z,"I wonder what would be the execution order in this case? `ComputeWitnessHash` calls `SerializeHash(*this, ...)` so other members must be initialized before.",https://github.com/bitcoin/bitcoin/pull/13011#discussion_r182326060,182326060,src/primitives/transaction.cpp
promag,2018-04-18T07:03:17Z,Could this expression be in `ComputeWitnessHash`?,https://github.com/bitcoin/bitcoin/pull/13011#discussion_r182326418,182326418,src/primitives/transaction.h
ryanofsky,2018-05-17T20:17:47Z,"> I wonder what would be the execution order in this case? ComputeWitnessHash calls SerializeHash(*this, ...) so other members must be initialized before.\n\nExecution order always the matches order members are declared in the class, not the order initializations are written in the constructor (compilers will warn if the orders differ), so this wouldn't change behavior. You can see https://isocp",https://github.com/bitcoin/bitcoin/pull/13011#discussion_r189087616,189087616,src/primitives/transaction.cpp
MarcoFalke,2018-05-17T20:30:13Z,"We couldn't do the same for the `hash` member, I guess, so will leave this as is for now.",https://github.com/bitcoin/bitcoin/pull/13011#discussion_r189091225,189091225,src/primitives/transaction.cpp
