theStack,2021-08-31 09:23:02,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-909060039,909060039,
practicalswift,2021-09-04 13:48:36,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-912977373,912977373,
DrahtBot,2021-09-07 20:53:32,<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nNo conflicts as of last run.,https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-914622343,914622343,
naumenkogs,2021-09-17 09:34:39,ACK 632e648fd8a4d7b71be45139a51c75ffff305a1b,https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-921654751,921654751,
mzumsande,2021-10-05 17:20:49,Rebased and addressed feedback by @naumenkogs .,https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-934608731,934608731,
jnewbery,2021-10-06 09:49:59,utACK 2ac363a1f731b06d3f3c8b2fd7a02d0f846bb39b,https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-935868318,935868318,
naumenkogs,2021-10-06 10:23:44,"ACK 2ac363a1f731b06d3f3c8b2fd7a02d0f846bb39b, but it'd be great to apply what vasild suggested.",https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-935920096,935920096,
fanquake,2021-10-07 05:42:04,"Given this change is quite small, and re-ACKing is easy, I'd suggest addressing the outstanding review comments before we merge this. Rather than having a followup to change the same lines again.\n\nAlso @naumenkogs I edited your ACK to remove the @ mention, otherwise it would have ended up in the merge message.",https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-937467868,937467868,
mzumsande,2021-10-07 07:28:58,"Makes sense of course, I'll push an update this evening. ",https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-937528608,937528608,
mzumsande,2021-10-07 23:59:57,"I addressed @vasild's suggestions, thanks for the review!\nNote that now this PR introduces more additional `BCLog::ADDRMAN` log calls. Although I originally had the intention to only log from the functions belonging to the public interface, I think that the entries in `ClearNew` and `MakeTried` can be helpful for debugging.",https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-938236001,938236001,
naumenkogs,2021-10-08 08:15:13,ACK 2ceab68079601072a8ab6f084e4b3123025d0463,https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-938440234,938440234,
jnewbery,2021-10-08 09:14:51,ACK 2ceab68079601072a8ab6f084e4b3123025d0463,https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-938483131,938483131,
mzumsande,2021-10-11 20:47:18,"Latest push: I added the bucket position everywhere where only the bucket was logged before and changed to a consistent notation `new[i][j]`, `tried[i][j]`.",https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-940429613,940429613,
jnewbery,2021-10-20 08:38:52,ACK b65a25a84666d41a0af4ad98ffadfa4ac802d1bb,https://github.com/bitcoin/bitcoin/pull/22839#issuecomment-947451590,947451590,
naumenkogs,2021-09-17 09:33:57,"nits:\n1. Say ""of size XYZ entries"" (implying not bytes).\n2. Maybe something more specific like ""Selected XYZ entries to be sent in response to GETADDR""",https://github.com/bitcoin/bitcoin/pull/22839#discussion_r710905950,710905950,src/addrman.cpp
mzumsande,2021-10-02 22:36:14,Thanks - I forgot to answer this - will address it when I push next (i.e. after #22950 is merged and I'll need to rebase anyway).,https://github.com/bitcoin/bitcoin/pull/22839#discussion_r720737254,720737254,src/addrman.cpp
naumenkogs,2021-10-04 07:16:10,"Why so pessimistic? :)\nThis already has 3 ACKs, so might bring this up at the meeting? Unless you explicitly want to avoid forcing a rebase on #22950",https://github.com/bitcoin/bitcoin/pull/22839#discussion_r721096973,721096973,src/addrman.cpp
jnewbery,2021-10-04 09:11:40,"I think that since #22950 is so much larger and requires more time-consuming review, it makes sense to try to merge that first and rebase other PRs on top of it (rather than merge small PRs and force 22950 to be rebased/re-reviewed).",https://github.com/bitcoin/bitcoin/pull/22839#discussion_r721179473,721179473,src/addrman.cpp
mzumsande,2021-10-04 09:53:59,"Yes, I agree with that. I'd much rather rebase this than go through all the (mostly mechanical) changes of 22950 another time. ",https://github.com/bitcoin/bitcoin/pull/22839#discussion_r721211828,721211828,src/addrman.cpp
mzumsande,2021-10-05 17:20:11,"I took your second suggestion, thanks!",https://github.com/bitcoin/bitcoin/pull/22839#discussion_r722452306,722452306,src/addrman.cpp
vasild,2021-10-06 08:38:25,"nit: a mixture of tenses is used: moving, adding, select, selected. ",https://github.com/bitcoin/bitcoin/pull/22839#discussion_r723012957,723012957,src/addrman.cpp
vasild,2021-10-06 08:41:01,"nit: might as well drop ""IP"". ""Moving 10.20.30.40"" is also fine IMO.\n\n""Moving IP 2g5qfdkn2vvcbqhzcyvyiitg4ceukybxklraxjnu7atlhd22gdwywaid.onion"" is funny because that is not an IP (address).",https://github.com/bitcoin/bitcoin/pull/22839#discussion_r723015165,723015165,src/addrman.cpp
vasild,2021-10-06 08:52:28,"Since we log the ""add"" operation, would it make sense to also log the ""delete""?\n* `Delete()`: removes an entry from the new table\n* `MakeTried()`: may move an entry from tried to new.",https://github.com/bitcoin/bitcoin/pull/22839#discussion_r723024716,723024716,src/addrman.cpp
