graingert,2011-10-30T18:48:23Z,I don't see the harm in this\n,https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2570844,2570844,
laanwj,2011-10-30T19:11:12Z,"I don't have problems with adding this either. The provided files can be useful for other distributions as well.\n\nExcept I don't really see the point of the included patch; we could support using the system json-spirit in the build system, this would save the need for including a diff in the repository (which can run out of date, not apply cleanly anymore etc...)\n",https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2570958,2570958,
TheBlueMatt,2011-10-30T19:40:18Z,"The included patch isn't actually used (see debian/patches/series) it was added by the bitcoind debian maintainer and I just decided to leave it since it is disabled anyway.\n\n""Wladimir J. van der Laan"" reply@reply.github.com wrote:\n\n> I don't have problems with adding this either. The provided files can\n> be useful for other distributions as well.\n> \n> Except I don't really see the point of",https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2571085,2571085,
gavinandresen,2011-11-01T00:07:29Z,Does this belong in the main repo? Or would another github repo be better (maybe 'bitcoin/distros'?)\n,https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2585222,2585222,
laanwj,2011-11-01T02:14:52Z,"I think there are arguments for and against including it in the main repository.\n\nFor:\n- Many of us are using a debian-ish distribution, so having the files directly available (and versioned synchronously) aid in testing the debian package and debug issues like #595\n- What applies to packaging for debian can also serve as an example for packaging for other distributions\n\nAgainst:\n- As the d",https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2585989,2585989,
TheBlueMatt,2011-11-01T14:56:46Z,"I dont care too much where it goes, but at build-time the debian folder has to be at the top level, so if you move it, builders have to shuffle it around to commit updates and build.\n",https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2591226,2591226,
Stemby,2011-11-04T01:09:12Z,http://wiki.debian.org/DebianMentorsFaq#What.27s_wrong_with_upstream_shipping_a_debian.2BAC8_directory.3F\n\nCiao!\n,https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2626105,2626105,
laanwj,2011-11-04T07:40:45Z,"Well if debian itself thinks it's undesirable we can close this issue.\n\n```\nIf upstream has a debian directory in their releases, you should contact them \nand ask if they can remove the debian/ directory from their tarball releases. There's no \nneed to remove the debian directory from their revision control system (although if it's \nout of date they may decide to do so anyway), but at the ve",https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2628008,2628008,
TheBlueMatt,2011-11-04T12:33:42Z,"The thing is, in this case  the debian directory isn't for debian to use,  it's for us.  \n\n""Wladimir J. van der Laan"" reply@reply.github.com wrote:\n\n> Well if debian itself thinks it's undesirable we can close this issue.\n> \n> If upstream has a debian directory in their releases, you should\n> contact them \n> and ask if they can remove the debian/ directory from their tarball\n> releases. T",https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2630099,2630099,
Stemby,2011-11-04T12:58:18Z,"> There's no need to remove the debian directory from their revision control system (although if it's out of date they may decide to do so anyway), but at the very least the directory shouldn't appear in releases.\n\nIf you think that having a debian/ directory is useful, you can keep it in Git (only in Git!) evenly.\n\nCiao!\n",https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2630295,2630295,
TheBlueMatt,2011-11-04T14:17:10Z,"As I previously stated, the reasoning for adding our own debian directory is for distributed control/updates to the build-methods for the bitcoin/bitcoin ppa.  Without this, the debian directory is manged in (insert name of third party's tree here) which just becomes a mess (we used to do that for gitian builds, but people complained too much and gitian descriptors were merged upstream).\n\nDebian",https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2631226,2631226,
laanwj,2011-11-04T14:32:06Z,"yes, just move it to contrib, then it's in the tree and we don't have to\nremove it before release every time...\n",https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2631449,2631449,
TheBlueMatt,2011-11-04T14:45:29Z,already did (though github wont update and show that if the pull is closed)\n,https://github.com/bitcoin/bitcoin/pull/600#issuecomment-2631635,2631635,
