gastonmorixe,2013-12-10T14:15:18Z,:+1: \n,https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-30229912,30229912,
jgarzik,2013-12-12T23:50:43Z,"re-ACK\n\nThe previous pull request went around and around in an ultimately circular discussion.  I disagree that the multi-balance situation is a blocker for this PR.  Multi-balance has existed since the beginning of bitcoin, in the form of confirmed/unconfirmed balance.  Add on top of that multi-sig.  On top of that, locked outputs.  Adding public-key-only to the wallet is elegant and does not o",https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-30474213,30474213,
gavinandresen,2013-12-13T00:01:25Z,"OK from me, but I don't have time to test.\n",https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-30474857,30474857,
laanwj,2013-12-13T04:47:39Z,"@jgarzik But all the current balances can be seen by the user, it's easy to see what part of the balance is confirmed, unconfirmed, etc. This patch as it is now provides no way to see what part of the balance is 'watch-only'.\n\nThis could be dangerous: there is no way to distinguish a wallet that only contains addresses from one that contains actual private keys for the same without trying to spe",https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-30486909,30486909,
luke-jr,2013-12-13T13:43:19Z,"I think we are pretty close to multi-wallet actually... just some relatively small glue needed to expose it to the GUI or daemon, right?\n",https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-30509779,30509779,
sipa,2013-12-13T14:19:04Z,"I think having non-spendable balances visible is a good thing. Adding a boolean for that to getbalance/getunconfirmedbalance sounds fine to me (it should also deal with locked outputs).\n\nFor the GUI, something like:\n- Balance: X (+ Y unspendable)\n- Unconfirmed balance: Z (+ W unspendable)\n  (where the bracketed part is only shown when Y/W are nonzero)\n  would be fine to me.\n",https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-30512027,30512027,
jgarzik,2013-12-13T15:33:21Z,"@sipa agree\n@laanwj agree -- and this is easy to fix, by simply exposing the information.\n\nFor RPC, showing multiple balances and providing information about locked/multisig/readonly should be visible.\n",https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-30517656,30517656,
kyledrake,2014-01-11T05:52:59Z,"Hi guys,\n\nI'm investigating a problem where importaddress fails to find unspents sent to the imported address, even when rescan is set to true. I'm currently using https://github.com/sipa/bitcoin/tree/watchonly, so I haven't tested with this latest rebase yet, but I wanted to bring this up ASAP incase this is an issue that has not yet been discovered.\n\nReproducing is pretty simple with a priva",https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-32088431,32088431,
wtogami,2014-01-11T06:58:09Z,Could that issue be related to https://github.com/bitcoin/bitcoin/pull/3502 ?\n,https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-32089561,32089561,
kyledrake,2014-01-11T20:00:42Z,"@wtogami I'm not sure, but it's similar for sure.\n\n`importaddress <address> [label] [rescan=true]`\n\nIt does seem to rescan when rescan=true because the CPU spikes, but it doesn't find the unspent transactions for the address.\n",https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-32105430,32105430,
wtogami,2014-01-13T09:45:52Z,@kyledrake mhou3jmi6Snxw4Y7nszn7gFTbUzHdiBt9y doesn't seem to import any transactions into the wallet with master + #3383 while other addresses do.\n,https://github.com/bitcoin/bitcoin/pull/3383#issuecomment-32155612,32155612,
