emilengler,2019-10-16 20:26:06,Not tested yet but a `grep -rnI bip70` only finds matches in release notes so it looks good to me,https://github.com/bitcoin/bitcoin/pull/17165#issuecomment-542876961,542876961,
laanwj,2019-10-23 08:38:10,"Good, this time the OSX binaries are included in the gitian build.",https://github.com/bitcoin/bitcoin/pull/17165#issuecomment-545334991,545334991,
jtimon,2019-10-24 19:23:49,"Oh, wow, I hadn't seen this. Yes, please. Concept ACK",https://github.com/bitcoin/bitcoin/pull/17165#issuecomment-546065760,546065760,
DrahtBot,2019-10-24 20:00:24,<!--cf906140f33d8803c4a75a2196329ecb-->Needs rebase,https://github.com/bitcoin/bitcoin/pull/17165#issuecomment-546078974,546078974,
MarcoFalke,2019-10-25 21:00:22,"ACK 8c6081a884cd0969160955ce8687d4d4ed074db3\n\n<details><summary>Show signature and timestamp</summary>\n\nSignature:\n\n```\n-----BEGIN PGP SIGNED MESSAGE-----\nHash: SHA512\n\nACK 8c6081a884cd0969160955ce8687d4d4ed074db3\n-----BEGIN PGP SIGNATURE-----\n\niQGzBAEBCgAdFiEE+rVPoUahrI9sLGYTzit1aX5ppUgFAlwqrYAACgkQzit1aX5p\npUjKSgv/exTwf/JSsLIdKgCml6kmBoF0kadbbWndiUR7azT5wlTQcWV/+c9McO",https://github.com/bitcoin/bitcoin/pull/17165#issuecomment-546511788,546511788,
fanquake,2020-05-23 07:28:24,This has a release note in https://github.com/bitcoin-core/bitcoin-devwiki/wiki/0.20.0-Release-Notes-Draft.,https://github.com/bitcoin/bitcoin/pull/17165#issuecomment-633000923,633000923,
theuni,2019-10-18 18:11:27,"I think we probably want to leave this here, but turn ```--enable-bip70``` into an error. That way it's obvious to those who are currently manually overriding.",https://github.com/bitcoin/bitcoin/pull/17165#discussion_r336615047,336615047,configure.ac
theuni,2019-10-18 18:17:04,I guess the paymentprotocol was the only user of QNetwork* ?,https://github.com/bitcoin/bitcoin/pull/17165#discussion_r336617143,336617143,src/qt/optionsmodel.cpp
theuni,2019-10-18 18:21:42,I imagine the necessary scraps can probably move out of here and we can nuke PaymentServer?,https://github.com/bitcoin/bitcoin/pull/17165#discussion_r336618994,336618994,src/qt/paymentserver.h
theuni,2019-10-18 18:22:37,Please leave this in case someone uses another define down the road.,https://github.com/bitcoin/bitcoin/pull/17165#discussion_r336619386,336619386,src/qt/sendcoinsentry.cpp
theuni,2019-10-18 18:23:17,"Same, please leave these.",https://github.com/bitcoin/bitcoin/pull/17165#discussion_r336619646,336619646,src/qt/transactiondesc.cpp
fanquake,2019-10-19 16:09:42,"Have reverted this removal, and now throw an error for `--enable-bip70`.",https://github.com/bitcoin/bitcoin/pull/17165#discussion_r336743335,336743335,configure.ac
fanquake,2019-10-21 14:30:16,"Yes, that, and removing the network module from the Qt build can all be done as followups.",https://github.com/bitcoin/bitcoin/pull/17165#discussion_r337050814,337050814,src/qt/paymentserver.h
fjahr,2019-10-25 16:25:53,BIP70 reference should be removed from comment,https://github.com/bitcoin/bitcoin/pull/17165#discussion_r339136258,339136258,src/qt/walletmodel.h
fjahr,2019-10-25 17:20:52,"Could this method not rather be removed as well, along with the one place where it is used (line 295, same file)? I guess you try to keep the PR small but I would probably still remove this.",https://github.com/bitcoin/bitcoin/pull/17165#discussion_r339157079,339157079,src/qt/transactiondesc.cpp
MarcoFalke,2019-10-25 21:02:29,I think this is still needed to display the merchant name for existing txs made with bip 70?,https://github.com/bitcoin/bitcoin/pull/17165#discussion_r339238175,339238175,src/qt/transactiondesc.cpp
laanwj,2019-10-26 09:29:20,"It's not the intent to remove this any time soon. Maybe in the far future on a wallet format change. This was added as *fallback* for removing of BIP70 in #16852, so that displaying of old transactions doesn't suffer.",https://github.com/bitcoin/bitcoin/pull/17165#discussion_r339293705,339293705,src/qt/transactiondesc.cpp
fjahr,2019-10-26 11:36:12,"Ok, thanks for clarifying!",https://github.com/bitcoin/bitcoin/pull/17165#discussion_r339296823,339296823,src/qt/transactiondesc.cpp
