ken2812221,2018-08-09T05:43:50Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/13922#issuecomment-411643476,411643476,
MarcoFalke,2018-08-09T10:54:43Z,"Instead of changing all the constants in this test, couldn't you set the global min relay fee at the start of the test to 1000 and then back to what it was initially at the end of the test?",https://github.com/bitcoin/bitcoin/pull/13922#discussion_r208887058,208887058,src/test/mempool_tests.cpp
MarcoFalke,2018-08-09T10:58:04Z,"nit: Should be snake_case: `tx_fee_rate`.\n\nAlso, could submit this feature independent of this pull request, i.e. create a separate pull request.",https://github.com/bitcoin/bitcoin/pull/13922#discussion_r208887845,208887845,src/wallet/rpcwallet.cpp
MarcoFalke,2018-08-09T10:58:41Z,"Missing test. Also, this feature should probably be submitted in separate pull request.",https://github.com/bitcoin/bitcoin/pull/13922#discussion_r208887982,208887982,src/rpc/net.cpp
ajtowns,2018-08-10T08:27:16Z,"I thought it made more sense to check the default behaviour works right, though that would be plausible too",https://github.com/bitcoin/bitcoin/pull/13922#discussion_r209183900,209183900,src/test/mempool_tests.cpp
Empact,2018-08-10T15:59:20Z,nit: these can go in the initializer list,https://github.com/bitcoin/bitcoin/pull/13922#discussion_r209307485,209307485,src/policy/fees.cpp
Empact,2018-08-10T15:59:32Z,nit: whitespace,https://github.com/bitcoin/bitcoin/pull/13922#discussion_r209307536,209307536,src/policy/fees.cpp
ajtowns,2018-08-16T02:47:08Z,"Ugh, those weren't meant to be committed in the first place...",https://github.com/bitcoin/bitcoin/pull/13922#discussion_r210464405,210464405,src/policy/fees.cpp
ajtowns,2018-08-16T08:23:22Z,Nit now applies to #13990 ,https://github.com/bitcoin/bitcoin/pull/13922#discussion_r210513451,210513451,src/policy/fees.cpp
ajtowns,2018-08-16T08:23:54Z,Fixed in independent PR #13988 ,https://github.com/bitcoin/bitcoin/pull/13922#discussion_r210513590,210513590,src/wallet/rpcwallet.cpp
ajtowns,2018-08-16T08:24:25Z,Test added in separate #13987,https://github.com/bitcoin/bitcoin/pull/13922#discussion_r210513731,210513731,src/rpc/net.cpp
luke-jr,2018-08-27T21:46:52Z,"If tests don't already run in parallel, it would be nice if they did someday...",https://github.com/bitcoin/bitcoin/pull/13922#discussion_r213126456,213126456,src/test/mempool_tests.cpp
promag,2018-08-27T23:09:27Z,"@luke-jr just curious, why? Running in parallel makes it harder to debug and reason about.",https://github.com/bitcoin/bitcoin/pull/13922#discussion_r213142714,213142714,src/test/mempool_tests.cpp
ajtowns,2018-08-31T05:46:51Z,this comment applies to #13990 now,https://github.com/bitcoin/bitcoin/pull/13922#discussion_r214249217,214249217,src/policy/fees.cpp
practicalswift,2018-09-01T21:09:50Z,Typo found by `codespell`: propogate,https://github.com/bitcoin/bitcoin/pull/13922#discussion_r214523089,214523089,doc/release-notes-13922.md
practicalswift,2018-09-11T12:14:07Z,"```\n./test/functional/mempool_limit.py:16:70: E231 missing whitespace after ','\n```",https://github.com/bitcoin/bitcoin/pull/13922#discussion_r216645676,216645676,test/functional/mempool_limit.py
