ken2812221,2018-09-23T10:19:46Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/14296#issuecomment-423805911,423805911,
jnewbery,2018-09-23T12:57:25Z,Travis was failing because of new flake8 warnings. I've added a new commit removing all flake8 warnings from touched tests.,https://github.com/bitcoin/bitcoin/pull/14296#issuecomment-423814725,423814725,
DrahtBot,2018-09-23T16:05:12Z,"<!--e57a25ab6845829454e8d69fc972939a-->Reviewers, this pull request conflicts with the following ones:\n\n* #14534 (Enable flake8 rule E225 which checks for missing whitespace around op… by jbampton)\n* #14502 (Rpc help helper class by karel-3d)\n\nIf you consider this pull request important, please also help to review the conflicting pull requests. Ideally, start with the one that should be merge",https://github.com/bitcoin/bitcoin/pull/14296#issuecomment-423827063,423827063,
DrahtBot,2018-09-28T05:35:00Z,<!--32850dd3fdea838b4049e64f46995ea2-->\n| Coverage  | Change ([pull 14296](https://drahtbot.github.io/reports/coverage/bitcoin/bitcoin/14296/total.coverage/index.html)) | Reference ([master](https://drahtbot.github.io/reports/coverage/bitcoin/bitcoin/master/total.coverage/index.html))   |\n|-----------|-------------------------|--------------------|\n| Lines     | -0.0326 %            | 87.0361 %,https://github.com/bitcoin/bitcoin/pull/14296#issuecomment-425326077,425326077,
jnewbery,2018-10-17T19:01:32Z,Thanks for the corrections @promag . I've fixed them both.,https://github.com/bitcoin/bitcoin/pull/14296#issuecomment-430749576,430749576,
sipa,2018-10-17T21:57:57Z,utACK 2b91e42ece78c3f2ae4bf12fa71f461d05426a19,https://github.com/bitcoin/bitcoin/pull/14296#issuecomment-430804325,430804325,
promag,2018-10-18T00:49:15Z,"Tested ACK 2b91e42, only change was fixing release notes.",https://github.com/bitcoin/bitcoin/pull/14296#issuecomment-430837638,430837638,
promag,2018-10-02T09:49:06Z,"From doc/release-notes/release-notes-0.13.0.md\n\n- New RPC commands: `generatetoaddress`, `importprunedfunds`, `removeprunedfunds`, `signmessagewithprivkey`,\n  `getmempoolancestors`, `getmempooldescendants`, `getmempoolentry`,\n  `createwitnessaddress`, `addwitnessaddress`.\n```",https://github.com/bitcoin/bitcoin/pull/14296#discussion_r221888148,221888148,doc/release-notes-14296.md
promag,2018-10-02T09:50:49Z,"From doc/release-notes/release-notes-0.16.0.md\n\n- The wallet RPC `addwitnessaddress` was deprecated and will be removed in version 0.17,\n",https://github.com/bitcoin/bitcoin/pull/14296#discussion_r221888633,221888633,doc/release-notes-14296.md
jnewbery,2018-10-17T19:01:14Z,fixed,https://github.com/bitcoin/bitcoin/pull/14296#discussion_r226056796,226056796,doc/release-notes-14296.md
jnewbery,2018-10-17T19:01:18Z,fixed,https://github.com/bitcoin/bitcoin/pull/14296#discussion_r226056814,226056814,doc/release-notes-14296.md
