jonasschnelli,2017-08-14T10:27:21Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-322155803,322155803,
TheBlueMatt,2017-08-14T14:45:33Z,"This may make #10692 a bit simpler, though I'm not sure it matters what order they come in.",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-322210067,322210067,
promag,2017-08-15T15:37:16Z,Fixed bug and rebased.,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-322503789,322503789,
promag,2017-08-22T14:56:47Z,@laanwj I believe it's ready.,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-324052747,324052747,
laanwj,2017-08-22T15:49:20Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-324069155,324069155,
promag,2017-08-25T14:38:45Z,Rebased and fixed @MeshCollider comment.,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-324939734,324939734,
promag,2017-11-02T16:39:26Z,"Thanks @ryanofsky, I have to rebase and then I'll take into account your comment above.",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-341482401,341482401,
promag,2017-12-06T23:39:19Z,"This needs rebase. I can do it and adapt the new code if there is interest in merging it quick.\n\nMaybe it should also make `BlockMap mapBlockIndex` static?\n\ncc @MarcoFalke @laanwj",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-349811860,349811860,
TheBlueMatt,2017-12-12T15:42:26Z,Concept ACK. Would like to see this rebased sooner rather than later.,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-351089901,351089901,
promag,2017-12-13T15:42:44Z,Forgot to tackle @ryanofsky [comment](https://github.com/bitcoin/bitcoin/pull/11041#discussion_r148586107) above..,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-351429645,351429645,
MarcoFalke,2017-12-13T19:00:00Z,"travis failure:\n\n```\nAssertion failed: lock cs_main not held in ./validation.h:433; locks held:\n\n```",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-351488544,351488544,
promag,2017-12-14T11:30:03Z,"> I think it would be preferable to use const CBlockIndex* where it's possible\n\nAgree.\n\n> There are some cs_main locking changes; can you please explain them? Were locks missing there before, making this a bugfix as well as refactor?\n\nYes, for instance `FindForkInGlobalIndex`.\n\nI'll check if adding annotations helps identifying more missing locks. I'll update accordingly.",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-351685379,351685379,
TheBlueMatt,2017-12-14T15:52:50Z,re: const CBlockIndex (and associated things): see #10692.,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-351750863,351750863,
promag,2018-01-15T15:30:08Z,"> Again, please do not use LookupBlockIndex here (and a few other places).\n\nAs requested, last commit reverts changes to `CChainState`. Please review.",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-357714509,357714509,
promag,2018-02-05T22:30:08Z,Thanks @ryanofsky.,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-363243529,363243529,
promag,2018-03-06T19:30:40Z,"Rebased.\n\n@kallewoof why drop `const` qualifier?",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-370899472,370899472,
kallewoof,2018-03-06T19:41:52Z,"@promag Sorry, I only meant ""move the `*`""",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-370903133,370903133,
promag,2018-03-06T19:52:35Z,"@kallewoof no problem, done.",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-370906413,370906413,
kallewoof,2018-03-06T19:57:07Z,utACK 92fabcd,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-370907962,370907962,
ryanofsky,2018-03-12T21:29:12Z,"utACK 92fabcd443322dcfdf2b3477515fae79e8647d86. No changes since last review except rebase and squash.\n",https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-372468972,372468972,
rebroad,2021-05-11T10:23:48Z,@promag What's the reason for avoiding mapBlockIndex lookups?,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-838225751,838225751,
promag,2021-05-11T12:05:05Z,@rebroad it avoids duplicate lookups - its unnecessary work.,https://github.com/bitcoin/bitcoin/pull/11041#issuecomment-838355450,838355450,
promag,2017-08-13T17:39:50Z,!pblockindex,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r132848026,132848026,src/rest.cpp
promag,2017-08-13T17:40:23Z,Same as above.,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r132848037,132848037,src/rpc/blockchain.cpp
promag,2017-08-13T17:40:52Z,Remove assert.,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r132848061,132848061,src/rpc/blockchain.cpp
meshcollider,2017-08-23T01:20:42Z,Maybe explicit cast to bool here for clarity,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r134638513,134638513,src/net_processing.cpp
promag,2017-08-23T03:26:10Z,"Prefer this?\n```cpp\nreturn LookupBlockIndex(inv.hash) != nullptr;\n```",https://github.com/bitcoin/bitcoin/pull/11041#discussion_r134649948,134649948,src/net_processing.cpp
meshcollider,2017-08-23T04:33:37Z,Yeah or a ternary or even an if statement would be a lot clearer,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r134655245,134655245,src/net_processing.cpp
promag,2017-10-30T14:45:15Z,Missing assert lock is held.,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r147724360,147724360,src/validation.h
practicalswift,2017-10-30T19:25:44Z,Missing `EXCLUSIVE_LOCKS_REQUIRED(cs_main)` too :-),https://github.com/bitcoin/bitcoin/pull/11041#discussion_r147808975,147808975,src/validation.h
ryanofsky,2017-11-02T16:25:59Z,"In some of these places you could do \n\n```c++\nif (const CBlockIndex* pindex = LookupBlockIndex(wtx.hashBlock))\n```\n\nto reduce the scope of the pindex variables.",https://github.com/bitcoin/bitcoin/pull/11041#discussion_r148586107,148586107,src/wallet/wallet.cpp
jimpo,2017-12-06T23:13:36Z,Need to keep the `!mapBlockIndex.empty()`.,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r155389796,155389796,src/init.cpp
jimpo,2017-12-06T23:17:43Z,Needs a `!`,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r155390546,155390546,src/net_processing.cpp
laanwj,2017-12-14T10:46:02Z,const?,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r156909940,156909940,src/qt/transactionrecord.cpp
laanwj,2017-12-14T10:49:31Z,`const CBlockIndex*`?,https://github.com/bitcoin/bitcoin/pull/11041#discussion_r156910767,156910767,src/rpc/blockchain.cpp
