adrianh87,2018-03-13T14:00:11Z,Thank you Luke for taking it into consideration and adding it !,https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-372674775,372674775,
meshcollider,2018-03-13T20:53:26Z,"Concept ACK, perhaps it'd be cleaner to sub-object them like you put in the title of the PR ",https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-372814639,372814639,
sipa,2018-03-17T00:39:35Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-373879921,373879921,
promag,2018-05-03T08:15:36Z,@luke-jr is this still relevant? There are a couple of suggestions above and it's missing test(s) update.,https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-386221685,386221685,
achow101,2018-07-09T22:21:12Z,utACK daeb431011eefb35b9c76c0b1072d44ac40fe2a6,https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-403638841,403638841,
MarcoFalke,2018-07-10T17:30:15Z,"@promag Indeed, needs a trivial test where they are all different from 0",https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-403903860,403903860,
DrahtBot,2018-10-20T11:07:45Z,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#22798](https://github.com/bitcoin/bitcoin/pull/22798) (doc: Fix RPC result documentation by MarcoFalke)\n* [#22689](http",https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-431570890,431570890,
luke-jr,2019-02-12T13:48:20Z,Rebased and added tests,https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-462765537,462765537,
luke-jr,2019-04-06T16:29:23Z,Rebased again,https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-480517579,480517579,
DrahtBot,2019-09-30T13:02:40Z,"<!--5fd3d806e98f4a0ca80977bb178665a0-->There hasn't been much activity lately and the patch still needs rebase, so I am closing this for now. Please let me know when you want to continue working on this, so the pull request can be re-opened.",https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-536550602,536550602,
sipa,2019-10-18T03:32:44Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-543476320,543476320,
MarcoFalke,2020-05-07T17:07:50Z,ACK 911d940f14b3e05decf8bb8001fb133a0647b782,https://github.com/bitcoin/bitcoin/pull/12677#issuecomment-625381838,625381838,
