jonatack,2020-03-27 23:50:06,"Concept ACK. The code changes look good, will review the new test.",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-605359892,605359892,
DrahtBot,2020-03-28 00:10:41,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--2502f1a698b3751726fa55edcda76cd3-->\n\n### Coverage\n\n| Coverage  | Change ([pull 18454](https://drahtbot.github.io/reports/coverage/bitcoin/bitcoin/18454/total.coverage/index.html), e7908f9c13b4663e09448f879368afe7555708df) | Reference ([mas",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-605363921,605363921,
practicalswift,2020-03-28 11:22:54,"Concept ACK\n\nThanks taking on this unglamourous (in the short-run) but important (in the long-run) work.",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-605433411,605433411,
promag,2020-03-30 00:48:09,"Code review ACK fa5bf23d527a450e72c2bf13d013e5393b664ca3, clean change, just read the new test.",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-605729495,605729495,
naumenkogs,2020-04-02 13:51:38,"Code looks good.\nI can't understand what the test is actually testing for?",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607859814,607859814,
MarcoFalke,2020-04-02 13:58:31,It is a basic test to check that addr messages can be received (and are then relayed). For more information you can read the lines `self.log.info(...)`,https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607863530,607863530,
MarcoFalke,2020-04-02 14:03:48,Force pushed because I had to re-arrange the commits. Diff to previous review should be empty.,https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607866453,607866453,
naumenkogs,2020-04-02 14:03:50,"Yeah I tried reading that, just wanted to confirm. So, it actually doesn't test the new behavior (mockability)? Because ``setmocktime`` is called at the very end and nothing is really tested after it.",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607866484,607866484,
MarcoFalke,2020-04-02 14:06:45,"`assert_debug_log` is a context manager, so the checks in it are executed at the end.\n\nYou can check that the test fails by compiling current master, then checking out this branch, then running the functional tests without recompiling.\n\nYou can also check that this test fails by removing the call to `setmocktime` in the functional test.",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607868024,607868024,
naumenkogs,2020-04-02 14:13:21,"utACK fad3f58fd5a9d35d5a6e3467b1b5bcf18081ca41, although I would prefer to comment the last lines of the test. I think it's counter-intuitive of what you are actually trying to demonstrate.",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607871643,607871643,
MarcoFalke,2020-04-02 14:18:45,"@naumenkogs Happy to do that, could you leave suggestions for in-line comments please, so that I can take them?",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607874728,607874728,
MarcoFalke,2020-04-02 15:31:14,"Removed last commit after chat with @naumenkogs to keep this pull focussed on one topic. The test in the last commit can be added later, if needed.",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607918006,607918006,
naumenkogs,2020-04-02 15:59:39,utACK  fa1da3d,https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607935028,607935028,
MarcoFalke,2020-04-08 16:39:42,@promag Mind to re-ACK after I dropped one commit?,https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-611064557,611064557,
promag,2020-04-10 13:04:54,"ACK fa1da3d4bfc0511a89f5b19d5a4d89e55ff7ccde (fabe56e44b6f683e24e37246a7a8851190947cb3 before https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-607866453), fa5bf23d527a450e72c2bf13d013e5393b664ca3 was dropped since last review.",https://github.com/bitcoin/bitcoin/pull/18454#issuecomment-612019713,612019713,
