jonatack,2021-08-16 09:06:54,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22710#issuecomment-899350188,899350188,
Zero-1729,2021-08-16 16:11:57,Approach ACK,https://github.com/bitcoin/bitcoin/pull/22710#issuecomment-899634886,899634886,
hebasto,2021-08-16 18:25:49,"CI is green, and this PR is ready for reviewing :)",https://github.com/bitcoin/bitcoin/pull/22710#issuecomment-899724599,899724599,
DrahtBot,2021-08-16 18:41:21,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#22708](https://github.com/bitcoin/bitcoin/pull/22708) ([PoC] build, qt: Add Wayland support for Linux builds with depend",https://github.com/bitcoin/bitcoin/pull/22710#issuecomment-899733943,899733943,
hebasto,2021-08-18 16:35:47,"Updated 93f3427a47bf1761e4c66f9f6c5a0c09728e3a0e -> f52a72af569526f319d9f1480eb473b9570125c3 ([pr22710.04](https://github.com/hebasto/bitcoin/commits/pr22710.04) -> [pr22710.05](https://github.com/hebasto/bitcoin/commits/pr22710.05), [diff](https://github.com/hebasto/bitcoin/compare/pr22710.04..pr22710.05)):\n\n- addressed @laanwj's [comment](https://github.com/bitcoin/bitcoin/pull/22710#discuss",https://github.com/bitcoin/bitcoin/pull/22710#issuecomment-901260528,901260528,
MarcoFalke,2021-08-19 12:08:01,cr ACK f52a72af569526f319d9f1480eb473b9570125c3,https://github.com/bitcoin/bitcoin/pull/22710#issuecomment-901860669,901860669,
MarcoFalke,2021-08-16 08:23:22,why not `git log -1 ./depends`?,https://github.com/bitcoin/bitcoin/pull/22710#discussion_r689333123,689333123,.cirrus.yml
hebasto,2021-08-16 08:25:46,"Should we invoke it within a Docker image, i.e., with `DOCKER_EXEC`?",https://github.com/bitcoin/bitcoin/pull/22710#discussion_r689334689,689334689,.cirrus.yml
MarcoFalke,2021-08-16 08:29:27,It should work as long as `BASE_TEMPLATE` is run before `git` is called,https://github.com/bitcoin/bitcoin/pull/22710#discussion_r689337277,689337277,.cirrus.yml
hebasto,2021-08-16 08:47:46,Thanks! Done in the recent push.,https://github.com/bitcoin/bitcoin/pull/22710#discussion_r689350401,689350401,.cirrus.yml
hebasto,2021-08-16 13:37:54,"@MarcoFalke \n> why not `git log -1 ./depends`?\n\nIt works fine for `depends_sources_cache`, but not for `depends_built_cache` as the the actual content of the latter depends on the `DEP_OPTS` variable.",https://github.com/bitcoin/bitcoin/pull/22710#discussion_r689545129,689545129,.cirrus.yml
hebasto,2021-08-16 15:43:30,"> It works fine for `depends_sources_cache`, but not for `depends_built_cache` as the the actual content of the latter depends on the `DEP_OPTS` variable.\n\nAddressed in the recent push. OP has been updated.",https://github.com/bitcoin/bitcoin/pull/22710#discussion_r689650585,689650585,.cirrus.yml
laanwj,2021-08-18 12:55:32,"Might use `git rev-list -1 HEAD ./depends` here; this prints only the (full, independent of `core.abbrev`) commit hash.",https://github.com/bitcoin/bitcoin/pull/22710#discussion_r691209537,691209537,.cirrus.yml
hebasto,2021-08-18 16:36:08,Thanks! [Updated](https://github.com/bitcoin/bitcoin/pull/22710#issuecomment-901260528).,https://github.com/bitcoin/bitcoin/pull/22710#discussion_r691423505,691423505,.cirrus.yml
