practicalswift,2018-04-30T05:51:16Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-385317795,385317795,
jimpo,2018-05-01T22:53:22Z,utACK fae0e4f,https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-385813887,385813887,
meshcollider,2018-05-02T09:11:33Z,utACK https://github.com/bitcoin/bitcoin/pull/13120/commits/fae0e4f3309eff88e9b3d50518b1f86413d399ce,https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-385914144,385914144,
MarcoFalke,2018-05-02T18:33:23Z,Note that the test changes can be reviewed with leading white space ignored: `git diff fae0e4f~ fae0e4f --ignore-all-space ./test/`,https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-386077077,386077077,
jnewbery,2018-05-08T19:03:50Z,ACK 340720c5d3bef6b61e6561aa505732ec51e4b565,https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-387508518,387508518,
sdaftuar,2018-05-09T15:34:09Z,"I think this is a good idea, but I struggle with one issue.  I think it's reasonably likely that I'm being overly pedantic, but here goes anyway:\n\nI believe our code should be robust and internally consistent.  The existing code is very robust -- if we somehow end up on a branch where BIP 141 is not active, then we'll stop allowing new segwit transactions to our mempool.  After #11739, this is",https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-387780367,387780367,
MarcoFalke,2018-05-09T16:41:47Z,"I think we are slightly more internally consistent with this change, considering that the wallet already treats segwit as always active and feeds the mempool with segwit transactions (that are potentially rejected, based on the versionbits-state of the node's tip).\n\nNote that our miner would not include segwit transactions until the segwit commitment is allowed in the coinbase. So I think we a",https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-387801134,387801134,
sdaftuar,2018-05-09T16:52:36Z,"Agreed, I had overlooked the mining logic that remains in place, which would prevent including segwit transactions if somehow BIP 141 were not active on the chain.  So indeed I believe that this change would not result in internally inconsistent behavior, merely suboptimal behavior, which I think is totally fine in such a case.\n\nI do think that it would be somewhat better to also move forward ",https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-387804210,387804210,
MarcoFalke,2018-05-13T15:19:15Z,Squashed and rebased. (Only merge conflict was in the functional tests),https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-388634521,388634521,
jnewbery,2018-05-16T21:23:19Z,re-utACK fa2a73a41e5d196c7c82ed1fd451e989a31aef37,https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-389670289,389670289,
MarcoFalke,2018-05-29T20:52:14Z,Rebased to accommodate for moved file in `test/lint` (no code changes),https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-392940348,392940348,
laanwj,2018-06-12T15:20:29Z,utACK fa7a6cf1b36284db70e941bd2915fd6edbb0f9d6,https://github.com/bitcoin/bitcoin/pull/13120#issuecomment-396628792,396628792,
