gmaxwell,2016-11-26T06:54:44Z,Concept ACK.,https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263048115,263048115,
jonasschnelli,2016-11-26T08:29:04Z,"Nice. Concept ACK.\nNeeds test.",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263051382,263051382,
dooglus,2016-11-26T08:45:41Z,"@jonasschnelli I tried finding the fundrawtransaction tests but couldn't. Where are they?\n\nsrc/test/rpc_tests.cpp seems like the natural place for them, but I see no 'fund' in there at all.",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263051967,263051967,
jonasschnelli,2016-11-26T09:01:56Z,"@dooglus \nThere is one at `./qa/rpc-tests/fundrawtransaction.py`.\nThe tests should make sure that the `subtractFeeFromAmount` option work in conjunction with the custom feerate option (haven't look at your code so far).",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263052532,263052532,
dooglus,2016-11-27T09:21:35Z,"@jonasschnelli Thanks for pointing me at the `qa/` directory. I hadn't noticed it before.\n\nI have added tests for `subtractFeeFromAmount`, including checking that it works in combination with custom feerate.",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263111374,263111374,
sipa,2016-11-28T07:23:40Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263200387,263200387,
jonasschnelli,2016-11-28T07:36:16Z,"Code Review ACK a979010c80d5875ab26c9cdd5401e2b2905dd572.\nSquash required.",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263202152,263202152,
dooglus,2016-11-28T07:47:46Z,To 'squash' the commits do I just rewrite the same branch with a `push --force`? Or make a new branch and a new pull request?,https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263203903,263203903,
jonasschnelli,2016-11-28T07:49:47Z,"@dooglus: Yes. I normally do a `git rebase -I head~<amount-of-commits>`, find the commit you'd like to squash to and mark all later commits with a `s`. Then `git push --force`.",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263204233,263204233,
dooglus,2016-11-28T08:20:19Z,"@jonasschnelli Thanks. The 'i' is lowercase and the 'HEAD' is uppercase but it was close enough.\n\nI used `git rebase -i HEAD~3` and it appears to have worked.",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263209117,263209117,
morcos,2016-11-28T20:41:39Z,utACK,https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263387858,263387858,
dooglus,2016-11-29T21:51:07Z,"Addressed @mrbandrews' nits. Should I re-squash now, or leave the 'nit' commit separate for a while?",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263710894,263710894,
morcos,2016-11-29T22:48:55Z,"re-utACK 6a41954\n\n@dooglus good question, its not always clear.  I personally think that if the prior code is not broken , then its ok not to squash.",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263725673,263725673,
jonasschnelli,2016-11-30T08:03:14Z,"utACK 6a41954895460a033afc352af5c137418591cc6b\n@dooglus IMO squashing is not required when the commits has a reason to be separated. If it's just a trivial change/overhaul of the previous commit(s) in the PR, it should probably be squashed.",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-263808202,263808202,
dooglus,2016-12-06T08:06:05Z,"I've addressed all the review comments, rebased, squashed, and pushed the resulting commit.\n\nI'm wondering whether there's a potential issue with using integers to select which outputs to subtract the fee from, since the outputs are specified by a JSON dictionary, and dictionary keys are inherently unordered. Are we guaranteed when we `createrawtransaction '[]' '{""a0"":1,""a1"":1,""a2"":1}'` that `",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-265086138,265086138,
instagibbs,2016-12-06T13:16:53Z,"@dooglus good point, I don't think so. Recently ran into this writing extended rpc tests for something.",https://github.com/bitcoin/bitcoin/pull/9222#issuecomment-265147087,265147087,
