jgarzik,2014-06-03T22:53:06Z,Untested ACK.\n\nStyle nit:  lack of spaces in 'for' loop declarations\n,https://github.com/bitcoin/bitcoin/pull/4283#issuecomment-45030758,45030758,
pstratem,2014-06-03T22:53:21Z,"I haven't reviewed this patch, but I can confirm this is likely a significant issue in the reindexing time.\n\nApparently approximately 80% of calls to CHashWriter and 90% of calls to Hash, are for data that has already been hashed.\n",https://github.com/bitcoin/bitcoin/pull/4283#issuecomment-45030774,45030774,
sipa,2014-06-03T22:58:34Z,@jgarzik Fixed.\n,https://github.com/bitcoin/bitcoin/pull/4283#issuecomment-45031210,45031210,
sipa,2014-06-03T23:20:48Z,Bugfix + removed some duplicate hashes in wallet too.\n,https://github.com/bitcoin/bitcoin/pull/4283#issuecomment-45032910,45032910,
sipa,2014-06-04T00:00:20Z,Fixed tests.\n,https://github.com/bitcoin/bitcoin/pull/4283#issuecomment-45037523,45037523,
BitcoinPullTester,2014-06-04T04:53:06Z,"Automatic sanity-testing: PASSED, see http://jenkins.bluematt.me/pull-tester/93655f2e2b8122e11b86f5c63ab130e536fb4e56 for binaries and test log.\nThis test script verifies pulls every time they are updated. It, however, dies sometimes and fails to test properly.  If you are waiting on a test, please check timestamps to verify that the test.log is moving at http://jenkins.bluematt.me/pull-tester/cu",https://github.com/bitcoin/bitcoin/pull/4283#issuecomment-45051462,45051462,
laanwj,2014-06-04T07:38:50Z,"ACK on the idea\n\nI still think it'd make sense to cache the hash in the transaction structure. This would make GetHash() virtually free, and would allow similar speedups without as much code changes.\n",https://github.com/bitcoin/bitcoin/pull/4283#issuecomment-45060028,45060028,
sipa,2014-06-09T09:27:47Z,Closing in favor of #4309.\n,https://github.com/bitcoin/bitcoin/pull/4283#issuecomment-45474315,45474315,
laanwj,2014-06-04T06:28:27Z,"I like the BOOST_FOREACH better, especially as it can be changed to the new for constucts when we introduce C++11 support. Going to int-based instead of iterator-based iteration seems a step back instead of forward.\n",https://github.com/bitcoin/bitcoin/pull/4283#discussion_r13372452,13372452,src/main.cpp
sipa,2014-06-04T07:34:11Z,"> I like the BOOST_FOREACH better, especially as it can be changed to the\n> new for constucts when we introduce C++11 support. Going to int-based\n> instead of iterator-based iteration seems a step back instead of forward.\n\nSure, where possible I also prefer iterator based approaches. But in order\nto use block.GetTxHash(int) we need to know the index of the transaction\nwe're accessing.\n",https://github.com/bitcoin/bitcoin/pull/4283#discussion_r13373918,13373918,src/main.cpp
laanwj,2014-06-04T07:35:55Z,"OK, very good point. I was afraid for a moment that you were going to change all of them :)\n",https://github.com/bitcoin/bitcoin/pull/4283#discussion_r13373952,13373952,src/main.cpp
