achow101,2020-10-13 18:03:26,ACK c370e82bce3640d0ed99cff16e815b66853a8320,https://github.com/bitcoin/bitcoin/pull/20139#issuecomment-707914689,707914689,
MarcoFalke,2020-11-04 08:05:09,review ACK bca54204b54e4ce82b59daa6ebac60020a810f76,https://github.com/bitcoin/bitcoin/pull/20139#issuecomment-721576129,721576129,
stackman27,2020-11-13 19:20:40,"> @stackman27 you may like to include the suggested changes from [#20282 (review)](https://github.com/bitcoin/bitcoin/pull/20282#pullrequestreview-521620062) in this PR too\n\nDone! Could you please verify? ",https://github.com/bitcoin/bitcoin/pull/20139#issuecomment-726986140,726986140,
practicalswift,2020-11-17 09:56:27,"ACK 963696288955dc31b3a4fd136bfb791a9d99755b: diff looks correct\n\nThanks for removing unused stuff.",https://github.com/bitcoin/bitcoin/pull/20139#issuecomment-728819330,728819330,
MarcoFalke,2020-11-17 10:11:32,review ACK 963696288955dc31b3a4fd136bfb791a9d99755b,https://github.com/bitcoin/bitcoin/pull/20139#issuecomment-728828467,728828467,
jonatack,2020-11-17 11:05:11,ACK 963696288955dc31b3a4fd136bfb791a9d99755b,https://github.com/bitcoin/bitcoin/pull/20139#issuecomment-728855605,728855605,
MarcoFalke,2020-10-12 21:10:23,"Would be good to return an object instead. See\n\n```\ndoc/developer-notes.md:- Try to make the RPC response a JSON object.\n",https://github.com/bitcoin/bitcoin/pull/20139#discussion_r503533767,503533767,src/wallet/rpcwallet.cpp
stackman27,2020-10-14 05:49:01,RPC Result changed from `str` to `object`,https://github.com/bitcoin/bitcoin/pull/20139#discussion_r504416651,504416651,src/wallet/rpcwallet.cpp
MarcoFalke,2020-10-22 07:25:32,This is not an object what is returned here,https://github.com/bitcoin/bitcoin/pull/20139#discussion_r509936352,509936352,src/wallet/rpcwallet.cpp
stackman27,2020-10-25 07:16:02, so should I have `UpgradeWallet` return an object? I'm a little confused ,https://github.com/bitcoin/bitcoin/pull/20139#discussion_r511557835,511557835,src/wallet/rpcwallet.cpp
MarcoFalke,2020-10-30 06:43:44,No need to return an error if there is none. Please make this optional like in `analyzepsbt`,https://github.com/bitcoin/bitcoin/pull/20139#discussion_r514899031,514899031,src/wallet/rpcwallet.cpp
stackman27,2020-10-31 04:31:23,Done!,https://github.com/bitcoin/bitcoin/pull/20139#discussion_r515454298,515454298,src/wallet/rpcwallet.cpp
MarcoFalke,2020-11-02 07:19:55,This is not optionally pushed,https://github.com/bitcoin/bitcoin/pull/20139#discussion_r515777149,515777149,src/wallet/rpcwallet.cpp
jonatack,2020-11-16 18:53:01,"I think this addition can be dropped along with the test change (see also #20403, and apologies--I didn't realize you were working on this until DrahtBot mentioned it).",https://github.com/bitcoin/bitcoin/pull/20139#discussion_r524498286,524498286,src/wallet/rpcwallet.cpp
stackman27,2020-11-16 20:50:59,okay so I'll just take the result object out,https://github.com/bitcoin/bitcoin/pull/20139#discussion_r524564010,524564010,src/wallet/rpcwallet.cpp
