ken2812221,2018-10-14T11:04:35Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/14479#issuecomment-429617346,429617346,
sipa,2018-10-15T12:27:27Z,"Sigh, no.\n\nThe whole point is not to have the byte swap operations in there.\n\nDrop the htole32 etc.",https://github.com/bitcoin/bitcoin/pull/14479#issuecomment-429833457,429833457,
practicalswift,2018-10-15T12:45:20Z,"@sipa Please review d928115718d3b3df69f7188c7344ab814523a1d7 :-)\n\nLet me know if it looks good and I'll squash.",https://github.com/bitcoin/bitcoin/pull/14479#issuecomment-429839036,429839036,
sipa,2018-10-15T20:09:52Z,"utACK.\n\nWould be nice if someone with a big endian system could test that the resulting fee_estimates.dat files are actually portable across systems.",https://github.com/bitcoin/bitcoin/pull/14479#issuecomment-429995370,429995370,
practicalswift,2018-10-17T10:52:03Z,"Reverted to the initial version (2aafe7c60f6e84cea4bbb2ed16c2c6b59a0eb4b3, see https://github.com/bitcoin/bitcoin/pull/14479#discussion_r225802065).\n\nPlease re-review :-)",https://github.com/bitcoin/bitcoin/pull/14479#issuecomment-430582280,430582280,
practicalswift,2018-11-14T07:09:10Z,@sipa What would be the best way to move forward with this PR?,https://github.com/bitcoin/bitcoin/pull/14479#issuecomment-438560660,438560660,
MarcoFalke,2019-02-11T23:20:42Z,Adding the static_asserts could still be done without any other changes?,https://github.com/bitcoin/bitcoin/pull/14479#issuecomment-462534878,462534878,
donaloconnor,2018-10-16T19:23:25Z,Will this not read a corrupted value on files saved (before this change) on big endian systems (ie: previously saved using little endian but now interpreted using big endian?) - I'm not overly familiar with the code so maybe it's okay - but just something that jumps out.,https://github.com/bitcoin/bitcoin/pull/14479#discussion_r225676552,225676552,src/serialize.h
sipa,2018-10-16T19:42:57Z,"@donaloconnor Floating point number serialization in memory is specified by IEEE 754, IIRC, and not subject to the endianness under which integers are encoded.",https://github.com/bitcoin/bitcoin/pull/14479#discussion_r225682173,225682173,src/serialize.h
donaloconnor,2018-10-16T21:57:24Z,@sipa - I was under the impression that endianess is not specified in IEEE 754 - but subject to it as it's implementation dependant. This is probably not an issue in practice as BE archs are pretty rare now. My point was that the byte ordering might be switched when loading the file on a BE float arch. I've read that even some systems have half endianess where integer are LE while 754 are BE. Anyw,https://github.com/bitcoin/bitcoin/pull/14479#discussion_r225722007,225722007,src/serialize.h
sipa,2018-10-16T22:01:26Z,"Ah, that's good to know in any case. If true, that means this PR really worsens things!",https://github.com/bitcoin/bitcoin/pull/14479#discussion_r225723001,225723001,src/serialize.h
practicalswift,2018-10-16T22:17:23Z,@sipa Should I revert to the version I originally submitted that solves the UB part and the UB part only? :-),https://github.com/bitcoin/bitcoin/pull/14479#discussion_r225726637,225726637,src/serialize.h
sipa,2018-10-17T07:10:38Z,"@practicalswift Yes, that makes sense. I wasn't aware that IEEE encoding was still subject to BE/LE serialization.\n\nIdeally we actually test this on some BE hardware, though...",https://github.com/bitcoin/bitcoin/pull/14479#discussion_r225802065,225802065,src/serialize.h
