casey,2015-09-03T15:16:50Z,Tested and works on Yosemite.\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-137482163,137482163,
fanquake,2015-09-04T01:06:56Z,"utACK\n\nOn Thursday, September 3, 2015, Casey Rodarmor notifications@github.com\nwrote:\n\n> Tested and works on Yosemite.\n> \n> —\n> Reply to this email directly or view it on GitHub\n> https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-137482163.\n",https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-137614897,137614897,
paveljanik,2015-09-04T05:42:26Z,ACK\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-137653722,137653722,
paveljanik,2015-09-04T05:45:23Z,minor nit: please add a description where to put it (~/Library/LaunchAgents) somewhere around this file.\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-137653938,137653938,
jonasschnelli,2015-09-04T07:26:03Z,Would be nice to see some markup compatible informations/documentations in `contrib/init/README.md`.\n\nAlso for this PR we should probably mention that one can/needs to adjust the bitcoind path.\nIMO the path `/usr/local/bin/bitcoind` is not recommended on OSX (brew and macports) probably use a different path.\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-137664626,137664626,
kevcooper,2015-09-04T22:12:39Z,"I agree with adding more documentation and I'll work on that. I chose /usr/local/bin because it is included in the standard OS X PATH. The other default locations are /usr/bin , /bin , /usr/sbin , and /sbin which are all populated with system tools where as /usr/local/bin doesn't actually exist until you create it and add some tools to it, implying that its purpose is for local tools added by the ",https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-137866195,137866195,
kevcooper,2015-09-18T22:24:53Z,@jonasschnelli would adding documentation in `doc/init.md` be okay? It's referenced at the end of `contrib/init/README.md` as the location for more info.\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-141583061,141583061,
jonasschnelli,2015-09-19T14:55:47Z,Adding documentation to `docs/init.md` would make sense. Yes.\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-141677568,141677568,
laanwj,2015-09-23T15:55:46Z,Will merge this after documentation added to init.md\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-142646782,142646782,
paveljanik,2015-10-02T18:00:28Z,@kevcooper Can you please add the docs to `init.md`?\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-145105091,145105091,
kevcooper,2015-10-05T06:01:34Z,Yeah I'll get it done in the next couple days\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-145439546,145439546,
fanquake,2015-10-24T02:09:09Z,ping @kevcooper \n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-150739883,150739883,
kevcooper,2015-10-24T02:24:14Z,Argh sorry school has been dominating my time but I don't have any assignments this weekend so I'll finish my commits tomorrow!!\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-150742606,150742606,
kevcooper,2015-10-25T01:48:25Z,let me know if anything needs to be added or changed.\n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-150880123,150880123,
laanwj,2015-10-26T16:41:04Z,Thanks for seeing this through @kevcooper \n,https://github.com/bitcoin/bitcoin/pull/6621#issuecomment-151203229,151203229,
