gmaxwell,2011-07-18T07:01:59Z,This needs RPC / CLI support.\n\nOtherwise it's it's a nifty feature.\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-1593237,1593237,
Benares,2011-08-03T19:17:25Z,+1 for CLI support. Otherwise a must-have feature for me.\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-1720839,1720839,
ghost,2011-08-10T17:16:13Z,"CLI support done!\n\nbitcoin listaddressgroupings\nbitcoin sendtoaddress &lt;bitcoinaddress&gt;[:&lt;sendfromaddress1&gt;[,&lt;sendfromaddress2&gt;[,...]]] &lt;amount&gt; [comment] [comment-to]\n",https://github.com/bitcoin/bitcoin/pull/415#issuecomment-1774577,1774577,
zellfaze-zz,2011-08-16T18:37:32Z,+1 I think this is a great change.\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-1819018,1819018,
ripper234,2011-09-02T17:03:40Z,+1\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-1980957,1980957,
alexwaters,2011-09-30T08:05:20Z,"The pull has become unmergeable (without conflicts), and will be closed in 15 days from this message if action is not taken.\n\nTo prevent closure, kindly rebase the pull to merge cleanly with the current codebase. If a time extension is needed, please respond to this comment or contact QA@BitcoinTesting.org.\n",https://github.com/bitcoin/bitcoin/pull/415#issuecomment-2247120,2247120,
ghost,2011-10-09T05:19:51Z,fixed\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-2335342,2335342,
alexwaters,2011-10-20T06:01:42Z,"I'll ACK immediately if this is rebased with QT, and holds up to unit test / code read-through (sorry).\n",https://github.com/bitcoin/bitcoin/pull/415#issuecomment-2465111,2465111,
ghost,2011-11-07T05:06:06Z,finally got around to repatching this onto bitcoin-qt... probably still needs some code cleanup... will look into tests next\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-2650112,2650112,
alexgenaud,2011-12-16T02:04:13Z,+1 Please mainline this killer feature!\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3172331,3172331,
paraipan,2011-12-16T03:14:13Z,"+1 advanced features, geek only. This patch with priv key import feature could make a good team :)\n",https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3172746,3172746,
finway-china,2011-12-16T23:55:25Z,I say it'll be good.\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3186306,3186306,
yhaenggi,2011-12-17T11:42:44Z,+1 \n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3189002,3189002,
kwukduck,2011-12-18T00:35:48Z,+1 key feature in managing anonymity.\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3192475,3192475,
WyseNynja,2011-12-18T01:45:09Z,+1  I'm looking forward to this and being able to sweep keys\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3192705,3192705,
gavinandresen,2011-12-18T20:59:42Z,"coderr, can you write up a test plan or recruit somebody to write a test plan?  What are the corner cases that might break? Does this change the way fees work at all-- if I try to send 0.5 BTC from an address that has exactly 0.5 BTC but it's in a brand-new transaction (and so trigger the pay-a-fee code), what happens?\n\nI'll let laanjw approve/disapprove the GUI changes.\n",https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3196900,3196900,
ghost,2011-12-19T00:42:22Z,"@gavinandresen\nIs this the kind of test plan you were looking for? https://gist.github.com/9ec080b2bab70372b60e\n\nWhat the patch does is basically only allow SelectCoinsMinConf() to ""see"" the addresses you have selected to send from.  So in the case you mention it will inform the user the transaction has failed.  Same thing for any case where the total amount required is more than the sum of the",https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3198060,3198060,
simonk83,2011-12-19T06:10:45Z,+1\n,https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3199693,3199693,
laanwj,2011-12-20T03:42:19Z,"I'll test this soon, only just heard this was rebased to Qt.\n",https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3214027,3214027,
TheBlueMatt,2011-12-20T03:47:58Z,"This is not the place to be +1'ing, if you want to show public support for a feature, please make a forum thread where everyone can +1.  If you have some useful comment on the bug, ie ""Ive compiled this/been running this and spent more than 10 minutes testing it and it behaves as expected"", say it, otherwise keep it to yourself, thanks.\n",https://github.com/bitcoin/bitcoin/pull/415#issuecomment-3214053,3214053,
