practicalswift,2019-03-28T16:51:47Z,Very nice! Do you have any numbers to share? :-),https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-477680634,477680634,
jnewbery,2019-03-28T16:59:00Z,"> Very nice! Do you have any numbers to share? :-)\n\n~30 minutes -> ~4 minutes on my machine.\n\n(I should have mentioned that this is #10591 resurrected)",https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-477683462,477683462,
jnewbery,2019-03-28T19:44:04Z,"Force pushed some minor fixups. I also tested sending the blocks over P2P, and it's actually slower, so I've removed the comment saying we should do that.",https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-477743743,477743743,
instagibbs,2019-03-28T19:48:59Z,"reACK https://github.com/bitcoin/bitcoin/pull/15686/commits/ba3954692759809886139823ce52b1f38245d4f3\n",https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-477745426,477745426,
sipa,2019-03-28T21:27:48Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-477777713,477777713,
MarcoFalke,2019-03-28T22:36:24Z,"> ~30 minutes -> ~4 minutes on my machine.\n\nThat's impressive. Mind to move it to the non-extended tests?",https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-477796225,477796225,
DrahtBot,2019-03-28T22:55:40Z,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#15680](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/15680.html) ([WIP] Remove resendwallettransactions RPC m",https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-477800614,477800614,
jnewbery,2019-03-28T23:46:19Z,"> Mind to move it to the non-extended tests?\n\nSadly, I think this still won't run on travis. Here's my comment on the original PR:\n\n> Unfortunately, pruning.py still isn't able to run on Travis. It appears that disk access is very slow for in the Travis environment, and this test still times out/fails. Unfortunately, it's not possible to run this test without very heavy disk access - the w",https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-477811515,477811515,
jnewbery,2019-03-29T15:45:44Z,"I've split style-only changes into their own commit, to make review easier. Pushed branch should be identical to previous.",https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-478047193,478047193,
MarcoFalke,2019-03-29T16:20:47Z,utACK 03d6d238104d228acfae9f3e122879bddef8d27d,https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-478060215,478060215,
MarcoFalke,2019-03-29T17:16:32Z,Time: Less than 3 minutes on ssd and about 4 minutes on hdd. :rocket: ,https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-478079500,478079500,
instagibbs,2019-03-29T17:21:37Z,re-ACK https://github.com/bitcoin/bitcoin/pull/15686/commits/03d6d238104d228acfae9f3e122879bddef8d27d,https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-478081182,478081182,
jnewbery,2019-03-29T17:39:22Z,Thanks for the review @ryanofsky . This has been merged so I'm not intending to make further changes (happy to review your PR if you want to make the changes though).,https://github.com/bitcoin/bitcoin/pull/15686#issuecomment-478087155,478087155,
instagibbs,2019-03-28T17:52:28Z,"one hand clapping: can a coinbase tx ever be ""non-standard""? :) ",https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270127761,270127761,test/functional/feature_pruning.py
instagibbs,2019-03-28T17:56:04Z,`block_hex`? I also think a simple `.hex()` is kosher on master now(or at least I see many incantations of it!),https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270129390,270129390,test/functional/feature_pruning.py
sdaftuar,2019-03-28T18:03:32Z,"I think all coinbases are ""non-standard"", since we never relay them. :)",https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270132578,270132578,test/functional/feature_pruning.py
instagibbs,2019-03-28T18:03:43Z,"Also just as test belt and suspenders, make sure the blocks you are making are actually the size you think they are:\n\n`assert_greater_than(len(block_hex), len(big_script)*2)`\n\nor there abouts",https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270132660,270132660,test/functional/feature_pruning.py
jnewbery,2019-03-28T18:42:58Z,"Heh. Would you prefer ""A transaction containing this scriptPubKey would be non-standard in a non-coinbase transaction, but is consensus valid""?\n\nI also notice that the comment incorrectly says 'scriptsig' instead of 'scriptPubKey'. I'll update.",https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270148544,270148544,test/functional/feature_pruning.py
instagibbs,2019-03-28T18:46:22Z,just a joke :) ,https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270149854,270149854,test/functional/feature_pruning.py
jnewbery,2019-03-28T19:43:11Z,Thanks. I've changed this to use `ToHex()` to match other tests.,https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270170154,270170154,test/functional/feature_pruning.py
jnewbery,2019-03-28T19:43:24Z,"Needed to fix other comments, so I've fixed this too. Thanks.",https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270170215,270170215,test/functional/feature_pruning.py
ryanofsky,2019-03-29T17:10:39Z,Could update this comment,https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270500974,270500974,test/functional/feature_pruning.py
ryanofsky,2019-03-29T17:23:11Z,Could write 0x207fffff,https://github.com/bitcoin/bitcoin/pull/15686#discussion_r270505474,270505474,test/functional/feature_pruning.py
