jonatack,2021-08-25 18:01:45,Wow. Concept ACK.,https://github.com/bitcoin/bitcoin/pull/22798#issuecomment-905754946,905754946,
prayank23,2021-08-25 18:33:25,"If RPC result documentation is fixed in bulk, maybe this can be added: https://github.com/bitcoin/bitcoin/pull/22430/",https://github.com/bitcoin/bitcoin/pull/22798#issuecomment-905776260,905776260,
theStack,2021-08-25 19:21:34,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22798#issuecomment-905808795,905808795,
MarcoFalke,2021-08-25 19:22:39,"@prayank23 My plan is to auto-generate the RPC examples, so that such issues are impossible. See #22799 for the meta issue.",https://github.com/bitcoin/bitcoin/pull/22798#issuecomment-905809450,905809450,
MarcoFalke,2021-08-25 19:44:21,"For reference, if someone wants to export the RPC docs to produce a rendered diff, the following patch might be useful:\n\n(dump_dir is a directory created by `git init`)\n\n```diff\ndiff --git a/src/rpc/server.cpp b/src/rpc/server.cpp\nindex cf80b08b96..6c6a71c6e4 100644\n--- a/src/rpc/server.cpp\n+++ b/src/rpc/server.cpp\n@@ -95,7 +95,7 @@ std::string CRPCTable::help(const std::string& ",https://github.com/bitcoin/bitcoin/pull/22798#issuecomment-905822365,905822365,
DrahtBot,2021-08-25 23:40:39,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#22650](https://github.com/bitcoin/bitcoin/pull/22650) (Remove -deprecatedrpc=addresses flag and corresponding code/logic",https://github.com/bitcoin/bitcoin/pull/22798#issuecomment-905946737,905946737,
lsilva01,2021-08-26 04:52:16,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22798#issuecomment-906092872,906092872,
practicalswift,2021-09-04 13:53:33,Concept ACK,https://github.com/bitcoin/bitcoin/pull/22798#issuecomment-912978161,912978161,
MarcoFalke,2021-09-21 13:21:49,Failing CI can be ignored,https://github.com/bitcoin/bitcoin/pull/22798#issuecomment-923983142,923983142,
fanquake,2021-09-10 07:07:37,"In `decodepsbt`, looks like `scriptPubKey` -> `address` should also be marked optional.",https://github.com/bitcoin/bitcoin/pull/22798#discussion_r705945939,705945939,src/rpc/rawtransaction.cpp
fanquake,2021-09-10 07:31:20,Should be added to `signrawtransactionwithkey()` as well?,https://github.com/bitcoin/bitcoin/pull/22798#discussion_r705959653,705959653,src/wallet/rpcwallet.cpp
fanquake,2021-09-10 08:00:43,"Should `startingheight`, `synced_headers`, `synced_blocks` .... `addr_rate_limited` be optional as well? They are dependant on `fStateStats` same as pingwait.",https://github.com/bitcoin/bitcoin/pull/22798#discussion_r705978871,705978871,src/rpc/net.cpp
MarcoFalke,2021-09-21 09:08:01,"Strictly they are conditional. Though I think the RPC should be changed to not be racy, unless there is a strong reason for it to prefer to be racy.",https://github.com/bitcoin/bitcoin/pull/22798#discussion_r712847911,712847911,src/rpc/net.cpp
MarcoFalke,2021-09-21 09:12:19,It already is?,https://github.com/bitcoin/bitcoin/pull/22798#discussion_r712851254,712851254,src/wallet/rpcwallet.cpp
MarcoFalke,2021-09-21 09:12:30,"Thanks, fixed.",https://github.com/bitcoin/bitcoin/pull/22798#discussion_r712851387,712851387,src/rpc/rawtransaction.cpp
