gmaxwell,2017-07-09T11:37:45Z,do we have someone on OpenBSD or likewise to test this?,https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-313914780,313914780,
MarcoFalke,2017-09-14T09:42:51Z,Please squash your commits according to https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md#squashing-commits,https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-329430564,329430564,
practicalswift,2017-09-14T09:51:45Z,@MarcoFalke Fixed! :-),https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-329432831,329432831,
laanwj,2017-10-02T13:15:47Z,"> do we have someone on OpenBSD or likewise to test this?\n\nWe don't have any tests for most of these scripts, period :(",https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-333530823,333530823,
TheBlueMatt,2017-10-03T20:18:36Z,"With the exception of the sh -> bash change when needed and clear fixes for edge cases (eg the || exit 1s), both of which I think we should do, I'm not sure what this accomplishes aside from code churn...are the other things going to break on some shell, or are they deprecated in a way that they will be removed within the next ~decade? We've had plenty of issues with otherwise innocuous shell scri",https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-333965542,333965542,
practicalswift,2017-10-04T19:49:04Z,"@TheBlueMatt Thanks for reviewing.\n\nI've now removed the changes that could be claimed to be in the ""deprecated but not likely to be removed any time soon"" and the ""feels prettier/nicer"" categories.\n\nI've also unsquashed the changes so that this PR can be reviewed on a more detailed per-change/commit level. The requested squashing was perhaps a bit premature. I'll squash again when the onl",https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-334269291,334269291,
TheBlueMatt,2017-10-05T15:02:13Z,utACK 6c6494092e57e78bed4b6f2b315ed3e9d328ad9f,https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-334492895,334492895,
practicalswift,2017-10-09T21:22:39Z,@MarcoFalke Fixed. Would you mind re-reviewing? :-),https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-335294329,335294329,
practicalswift,2017-10-18T05:35:40Z,@TheBlueMatt Fixed! :-),https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-337465201,337465201,
practicalswift,2017-10-18T15:10:36Z,Rebased!,https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-337624132,337624132,
MarcoFalke,2017-10-18T20:21:38Z,"Note, you can go ahead and squash fixup commits when you are doing a\nrebase anyway.\n",https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-337716041,337716041,
practicalswift,2017-10-18T20:27:06Z,@MarcoFalke Good idea! Now squashed. Would you mind re-reviewing? :-),https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-337717575,337717575,
TheBlueMatt,2017-11-07T16:31:50Z,utACK 13a81b19df7acff51187655bb755f1371f9c83ca,https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-342540144,342540144,
MarcoFalke,2017-11-10T16:48:34Z,"utACK 13a81b1 (Only looked at the diff, didn't check that the 8 commits do what they advertise)",https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-343525489,343525489,
practicalswift,2017-11-30T07:09:44Z,Ready for merge? :-),https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-348102045,348102045,
theuni,2017-12-04T18:21:12Z,utACK 13a81b19df7acff51187655bb755f1371f9c83ca,https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-349054999,349054999,
sipa,2017-12-04T21:18:33Z,utACK 13a81b19df7acff51187655bb755f1371f9c83ca,https://github.com/bitcoin/bitcoin/pull/10773#issuecomment-349108853,349108853,
MarcoFalke,2017-10-09T18:34:49Z,According to the line above this is only printed when both vars are the same. No need to print them both.,https://github.com/bitcoin/bitcoin/pull/10773#discussion_r143545694,143545694,contrib/verify-commits/verify-commits.sh
practicalswift,2017-10-09T19:15:32Z,@MarcoFalke Do you have any suggestion regarding the correct output to print? :-),https://github.com/bitcoin/bitcoin/pull/10773#discussion_r143554178,143554178,contrib/verify-commits/verify-commits.sh
MarcoFalke,2017-10-09T19:55:43Z,"maybe\n\n```diff\n PREV_COMMIT=""""\n+INITIAL_COMMIT=${CURRENT_COMMIT}\n \n while true; do\n 	if [ ""$CURRENT_COMMIT"" = $VERIFIED_ROOT ]; then\n-		echo ""There is a valid path from ""$CURRENT_COMMIT"" to $VERIFIED_ROOT where all commits are signed!""\n+		echo ""There is a valid path from \""$INITIAL_COMMIT\"" to $VERIFIED_ROOT where all commits are signed!""",https://github.com/bitcoin/bitcoin/pull/10773#discussion_r143562582,143562582,contrib/verify-commits/verify-commits.sh
TheBlueMatt,2017-10-17T21:25:44Z,"In quotes, please.",https://github.com/bitcoin/bitcoin/pull/10773#discussion_r145260700,145260700,contrib/verify-commits/verify-commits.sh
