laanwj,2015-01-09T11:24:02Z,"Looks good to me, utACK\n",https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69322754,69322754,
jonasschnelli,2015-01-09T14:23:26Z,@Diapolo would it be possible to cover this with a test in `paymentservertests.cpp`?\n,https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69339769,69339769,
Diapolo,2015-01-09T14:44:25Z,"One could craft and add an expired payment request into `paymentrequestdata.h`, copy and paste the check used in this pull `(details.has_expires() && (int64_t)details.expires() < GetTime()))` and use that in a testcase, yes. I can't craft a usable payment request usable there, feel free to jump in :).\n",https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69342455,69342455,
Diapolo,2015-01-09T14:48:20Z,"Btw. @laanwj `expires` is also an `uint64` casted to `int64_t`, is that safe? `GetTime()`is using `int64_t` as return value, wheras the used `time()` in it is returning `time_t` (which is a `long long` on my compiler suite).\n\nThinking about it, `uint64` allows for bigger numbers than `int64` can store, so if one crafts payment request with `expires` set to a value bigger than `0x7FFFFFFFFFFFFFFF",https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69343027,69343027,
gavinandresen,2015-01-09T15:36:31Z,"Definitely needs a unit test (or two, testing expires with large unsigned values is a great idea).\n\n@Diapolo : if you aren't willing to create unit tests for your code, then, in my humble opinion, you shouldn't be writing code. Testing is critical.\n",https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69350006,69350006,
Diapolo,2015-01-09T15:39:45Z,"@gavinandresen Sorry if you have the impression I'm not willing, it's more my skills are limited in that case. I really have no idea how to craft a suiting payment request for `paymentrequestdata.h`, like you did -_-.\n\nOh and by the way, you created the initial check in paymentserver.cpp, which also had no unit test :-P. I just duplicated the code which was there and added it, where it also need",https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69350471,69350471,
jonasschnelli,2015-01-09T15:43:31Z,@Diapolo i'll try to create one a link you in a commit for `paymentrequestdata.h`\n,https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69351076,69351076,
Diapolo,2015-01-09T15:44:56Z,@jonasschnelli I'm glad if you also can help me in understanding how you do it :).\n,https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69351330,69351330,
gavinandresen,2015-01-09T15:46:19Z,"There's simple c++ code for creating payment requests here:  https://github.com/gavinandresen/paymentrequest/blob/master/c%2B%2B/paymentrequest-create.cpp\n\nI used it to generate a binary payment request (after using openssl commands to generate private keys, certificates, etc).\n\nThen I converted the binary payment request files to base64 (e.g. openssl enc -base64)\n\nThen copy the base64 into ",https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69351549,69351549,
Diapolo,2015-01-09T15:51:01Z,"@gavinandresen Thanks for linking that in here, I'll take a look.\n",https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69352412,69352412,
jonasschnelli,2015-01-09T15:52:21Z,"Could you not take one from https://bitcoincore.org/~gavin/createpaymentrequest.php and base64 it?\nIf you need different values, take the php source, run them on MAMP/XAMP, etc. \nI suppose this might also work.\n",https://github.com/bitcoin/bitcoin/pull/5620#issuecomment-69352645,69352645,
