instagibbs,2016-07-20T01:35:49Z,"""Progress increase per hour"" is a bit weird sounding to me, maybe ""Sync progress per hour""?\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-233815300,233815300,
laanwj,2016-07-20T08:40:50Z,Looks very nice!\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-233887606,233887606,
laanwj,2016-07-28T09:04:16Z,"- Looks like the font color should not depend on the theme?\n  ![overlay](https://cloud.githubusercontent.com/assets/126646/17206997/b70a2534-54b2-11e6-893c-35a64a5b24b8.png)\n- Maybe add some more text after ""...but this process has not completed yet"", to make it more concrete ""this means that recent transactions will not be visible, and the balance will not be up-to-date until this process has c",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-235840248,235840248,
jonasschnelli,2016-07-28T09:45:01Z,"Added the second info text and made sure, the font will be blackish (force push).\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-235849298,235849298,
fanquake,2016-08-08T03:32:48Z,"Testing this, and clicking hide doesn't seem to do anything?\nAlso, If your opening a close-to, or recently synced wallet, should the modal disappear automatically once it reaches 100%?\n\nOS X screenshots:\n![modal](https://cloud.githubusercontent.com/assets/863730/17468531/6988ea78-5d5b-11e6-9723-35d31314929f.png)\n![full-wallet](https://cloud.githubusercontent.com/assets/863730/17468535/6af5933",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-238134801,238134801,
jonasschnelli,2016-08-12T12:31:53Z,"@fanquake: It should hide automatically if you are in sync,.. but only, If you haven't opened it manually (by pressing the warning icons).\nNot sure if it should also hide in that case, but probably.\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-239433868,239433868,
Joukehofman,2016-08-19T09:35:37Z,Look great! Maybe add to the warning text that it's also not possible to send bitcoins?\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-240973407,240973407,
jonasschnelli,2016-08-26T07:49:48Z,"Fixed warning. Added a short text passage `""Spending bitcoins is not possible during that phase!""`.\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242656161,242656161,
sipa,2016-08-26T07:52:32Z,"Does the ""This process is not complete yet"" disappear when 100% is reached, but the window is still open?\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242656872,242656872,
jonasschnelli,2016-08-26T07:54:51Z,"@sipa: yes. It will (https://github.com/bitcoin/bitcoin/pull/8371/files#diff-0db7dd184df07a48c307ccc182021a68R776). But only if you not have manually opened the ""window"" by clicking on the alert icons (then it will stay intentionally).\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242657518,242657518,
sipa,2016-08-26T08:00:42Z,"No, I mean that if you have manually clicked it, and the window does stay\nopen, does the ""This process has not completes yet"" text also stay? Because\nthat is very confusing...\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242659200,242659200,
jonasschnelli,2016-08-26T08:02:18Z,Ah. I get your point. Maybe force closing then would make sense (or changing the text in the upper section [more complicate]).\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242659567,242659567,
sipa,2016-08-26T08:04:08Z,I think force closing is fine.\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242660046,242660046,
MarcoFalke,2016-08-26T08:05:59Z,> I think force closing is fine.\n\nAgree\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242660363,242660363,
jonasschnelli,2016-08-26T09:36:41Z,Updated so that the layer/window does force close when the we detect in-sync state.\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242680900,242680900,
sipa,2016-08-26T12:15:20Z,"The ""number of blocks left"" goes up and down for a while (presumably because the headers aren't processed yet?)... if the tip header is too far in the past, it may be better to say ""unknown"" there.\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242719674,242719674,
fanquake,2016-08-26T12:37:56Z,"Updated OS X screenshot, the hiding issue seems to be fixed now.\n![modal](https://cloud.githubusercontent.com/assets/863730/18005502/eb81e32a-6bcc-11e6-8e7a-770f090defa5.png)\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-242723984,242723984,
luke-jr,2016-09-10T08:21:08Z,"> Looks like the font color should not depend on the theme?\n\nRather, the background colour _should_ depend on the theme _also_? Why is this overriding the theme?\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-246099176,246099176,
flack,2016-09-12T09:37:19Z,"Shouldn't this dialog also have a headline of some sort (e.g. ""Wallet out of sync"")?\n\nBecause if I look at the screenshot, I only see the progress data, and the text starts with ""The displayed information may be out of date"", but in fact, it's not the currently displayed data (progress information) that is out of date, but the stuff in the wallet, which is obscured by the overlay.\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-246297218,246297218,
jonasschnelli,2016-09-12T09:41:37Z,"@luke-jr: I think creating nice visualizations is difficult with the presumption to only use theme based colors.\n\n@flack: Indeed. The term ""the displayed information... "" can look like its referred to the data below (in the same overlay). I have plans to overhaul this PR soon.\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-246298198,246298198,
jonasschnelli,2016-09-13T16:06:39Z,"Updated with recommendation from @sipa to hide the remaining blocks during headers-first during IBD.\n\n<img width=""971"" alt=""bildschirmfoto 2016-09-13 um 18 01 34"" src=""https://cloud.githubusercontent.com/assets/178464/18481542/ce43cc92-79dc-11e6-9ae0-69dab3ac9969.png"">\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-246733829,246733829,
MarcoFalke,2016-09-21T08:22:13Z,Looks good to merge\n\n![screenshot from 2016-09-21 10-20-23](https://cloud.githubusercontent.com/assets/6399679/18703191/24558f36-7fe5-11e6-9735-e58d7b24d942.png)\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-248544083,248544083,
jonasschnelli,2016-09-21T08:30:57Z,Fixed nits reported by @MarcoFalke.\n@MarcoFalke: can you re-ack?\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-248546008,248546008,
luke-jr,2016-09-21T08:33:04Z,"@jonasschnelli On the contrary, violating the theme contradicts the goal of nice visualisations.\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-248546491,248546491,
jonasschnelli,2016-09-21T08:35:13Z,@luke-jr: I think adding a black overlay with white text does not directly violates the theme. It just will result in a more controllable look and feel.\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-248546992,248546992,
luke-jr,2016-09-21T08:40:29Z,"Software controlling look-and-feel means the user's chosen look-and-feel is being ignored. Presumably the user has chosen them because they like it, so violating them simply won't be nice.\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-248548200,248548200,
jonasschnelli,2016-09-21T08:46:50Z,I think themes are there for a reason.\nUsing the theme colors might result in loosing the optical effect which is there for a reason. The back background with the white info layer should imply that the informations within the layer are on a different level of importance.\n\nBut happy if someone likes to try migrating this to the theme colors.\n,https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-248549523,248549523,
luke-jr,2016-09-21T08:59:08Z,"(BTW, I don't mean to imply theme concerns need to interfere in merging this. By all means, feel free. We can work on theming later.)\n",https://github.com/bitcoin/bitcoin/pull/8371#issuecomment-248552357,248552357,
