laanwj,2019-06-05 13:54:59,utACK,https://github.com/bitcoin/bitcoin/pull/16149#issuecomment-499093049,499093049,
morcos,2019-06-05 14:53:43,"~~utNACK~~ .  how about discouraged?  i think its definitely useful to have more information, but its also nice to have shorthand for ""i read through this code and it appears correct to me (as well as an implicit concept ACK)""\n\nEDIT: Changing my opinion to somewhere between ""Alex was here"" and ""utACK"".\nI do think it can be useful to help other contributors think about what kind of concerns y",https://github.com/bitcoin/bitcoin/pull/16149#issuecomment-499118094,499118094,
MarcoFalke,2019-06-05 14:59:03,"I don't think it is hard to explicitly write `ACK, I only looked at the diff in GitHub for 5 seconds and it doesn't introduce an obvious DoS`. I think `utACK` has a meaning that is too broad to have any meaning. It is highly discouraged. Of course you can still use it, but at your own expense.",https://github.com/bitcoin/bitcoin/pull/16149#issuecomment-499120385,499120385,
MarcoFalke,2019-06-11 09:36:17,"Replaced ""Design ACK"" with ""Approach ACK"", since that seems to be more common.",https://github.com/bitcoin/bitcoin/pull/16149#issuecomment-500765960,500765960,
ajtowns,2019-06-12 10:04:01,"Approach ACK, this seems to be an improvement to me.",https://github.com/bitcoin/bitcoin/pull/16149#issuecomment-501206580,501206580,
moneyball,2019-06-13 15:56:38,ACK fac5ddfc5796022601af2c17fd0b158b2c465cba,https://github.com/bitcoin/bitcoin/pull/16149#issuecomment-501764479,501764479,
michaelfolkson,2019-06-16 14:37:40,Both Concept ACK and Approach ACK do not give any indication of whether the reviewer has tested the code. Testing is only referenced after the PR has received both a Concept ACK and an Approach ACK. Correct?,https://github.com/bitcoin/bitcoin/pull/16149#issuecomment-502458067,502458067,
moneyball,2019-06-16 17:08:37,"@michaelfolkson Both Concept and Approach ACK can occur before any code is written or at least mergeable code. Concept ACK is ""I agree this is a problem that is a priority to address."" Approach ACK is ""I agree the design/approach is the right one to address this problem."" Neither of these require final, testable, or mergeable code, although having code can help the author make the case that this i",https://github.com/bitcoin/bitcoin/pull/16149#issuecomment-502469288,502469288,
promag,2019-06-05 14:09:56,"nit, upper case `Review`, same below.",https://github.com/bitcoin/bitcoin/pull/16149#discussion_r290757767,290757767,CONTRIBUTING.md
moneyball,2019-06-05 14:20:54,"@sipa mentioned there is a distinction between ACKing\n1) the problem intended to be solved\n2) the approach being used to solve the problem\n\nAs a concept reviewer, it would be nice to communicate whether you're ACKing just #1, or also #2. This can help the author understand whether other contributors feel like this is an important problem to solve, so even those the proposed approach might ",https://github.com/bitcoin/bitcoin/pull/16149#discussion_r290763525,290763525,CONTRIBUTING.md
MarcoFalke,2019-06-05 14:41:27,Done,https://github.com/bitcoin/bitcoin/pull/16149#discussion_r290775129,290775129,CONTRIBUTING.md
MarcoFalke,2019-06-05 14:42:58,"Can't remember the wording, but I picked ""Concept ACK"" and ""Design ACK"".",https://github.com/bitcoin/bitcoin/pull/16149#discussion_r290775965,290775965,CONTRIBUTING.md
practicalswift,2019-06-06 09:23:19,Is this really worthwhile? :-),https://github.com/bitcoin/bitcoin/pull/16149#discussion_r291093611,291093611,CONTRIBUTING.md
fanquake,2019-06-07 11:01:12,Could mention here that linking to those discussions when doing review/concept ACKing is encouraged.,https://github.com/bitcoin/bitcoin/pull/16149#discussion_r291546103,291546103,CONTRIBUTING.md
ajtowns,2019-06-12 10:01:08,"This seems to say ""Approach NACK"" means ""Concept ACK"" which I don't think is true...",https://github.com/bitcoin/bitcoin/pull/16149#discussion_r292836331,292836331,CONTRIBUTING.md
ajtowns,2019-06-12 10:02:02,"I think you could drop the ""is or"" from that sentence",https://github.com/bitcoin/bitcoin/pull/16149#discussion_r292836712,292836712,CONTRIBUTING.md
MarcoFalke,2019-06-12 10:07:20,Done,https://github.com/bitcoin/bitcoin/pull/16149#discussion_r292838593,292838593,CONTRIBUTING.md
MarcoFalke,2019-06-12 10:07:38,Fixed,https://github.com/bitcoin/bitcoin/pull/16149#discussion_r292838704,292838704,CONTRIBUTING.md
real-or-random,2019-06-13 14:02:05,"I actually assumed ""Approach NACK"" implies ""Concept ACK"" somehow.\nIf you don't like the concept, you probably don't care too much about the approach.\n\nSo I think ""Approach ACK"" should imply ""Concept ACK"".\nNot sure what ""Approach NACK"" should imply, but I think a NACK should be explained anyway, so that's not an issue in practice.",https://github.com/bitcoin/bitcoin/pull/16149#discussion_r293394656,293394656,CONTRIBUTING.md
MarcoFalke,2019-06-13 14:08:53,"Ok, reverted back",https://github.com/bitcoin/bitcoin/pull/16149#discussion_r293398344,293398344,CONTRIBUTING.md
jonatack,2019-06-16 17:15:16,s/in/with/,https://github.com/bitcoin/bitcoin/pull/16149#discussion_r294093006,294093006,CONTRIBUTING.md
jonatack,2019-06-16 17:17:10,Suggestion: s/It is starting/A review begins/,https://github.com/bitcoin/bitcoin/pull/16149#discussion_r294093058,294093058,CONTRIBUTING.md
jonatack,2019-06-16 17:18:44,"Suggestion: s/branch. The review is /branch, /",https://github.com/bitcoin/bitcoin/pull/16149#discussion_r294093118,294093118,CONTRIBUTING.md
jonatack,2019-06-16 17:22:53,"Removing the utACK designation might complicate, or render less reliable or useful, review parsing for apps like bitcoinacks and the review bot (https://twitter.com/BitcoinCorePRs) that I would like to finish after the Chaincode seminars.",https://github.com/bitcoin/bitcoin/pull/16149#discussion_r294093213,294093213,CONTRIBUTING.md
