gmaxwell,2018-05-01T21:56:52Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-385802937,385802937,
theuni,2018-05-01T22:35:48Z,"Concept ACK and light review ACK, but I'm not comfortable enough with this code and its use to ACK confidently.",https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-385810793,385810793,
sipa,2018-05-01T22:48:07Z,"@theuni If it helps, all but the last commit should have no effect at all. To see why:\n* The first commit rewrites the only code that cares about the distinction between `IsMine` returning `ISMINE_WATCH_UNSOLVABLE` or `ISMINE_WATCH_SOLVABLE` (by calling `IsSolvable` instead, which has essentially the same code as what is inside `IsMine` for distinguishing between the two).\n* The second commit ",https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-385812949,385812949,
theuni,2018-05-02T00:13:49Z,"@sipa Thanks, that's helpful. I was mostly nervous about bitfield assumptions from the updated isminetype values, but I see now that that's not really a concern.",https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-385827470,385827470,
laanwj,2018-05-02T05:02:33Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-385865615,385865615,
meshcollider,2018-05-02T08:50:52Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-385908448,385908448,
sipa,2018-05-03T18:04:37Z,"Addressed a few comments.\n\n@jimpo: I've added a commit that perhaps makes the data flow clearer, by introducing a separate internal type that does track INVALID as a separate state. For performance reasons, there are still explicit returns in some places. Let me know if you think this helps - I can revert if not.",https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-386384960,386384960,
sipa,2018-05-03T18:43:24Z,"@jimpo Yes, I think we should do that, but in a later PR. I'm planning to first add tester functions (IsMineWatchOnly, IsMineAny, IsMineSpendable, ...) on the bitfield approach now, and then turn it into a real enum.",https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-386396975,386396975,
jimpo,2018-05-03T20:43:34Z,utACK 6472198,https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-386430459,386430459,
promag,2018-05-25T14:24:57Z,utACK c004ffc.,https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-392074481,392074481,
Empact,2018-05-25T18:39:16Z,utACK c004ffc,https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-392145671,392145671,
laanwj,2018-05-29T13:11:46Z,utACK c004ffc9b42a738043e19e4c812fc7e0566119c5,https://github.com/bitcoin/bitcoin/pull/13142#issuecomment-392770290,392770290,
theuni,2018-05-01T22:16:49Z,Do these need to flip isInvalid ?,https://github.com/bitcoin/bitcoin/pull/13142#discussion_r185349057,185349057,src/script/ismine.cpp
sipa,2018-05-01T22:19:10Z,Good idea.,https://github.com/bitcoin/bitcoin/pull/13142#discussion_r185349478,185349478,src/script/ismine.cpp
theuni,2018-05-02T00:12:15Z,"Imo it'd improve readability here to add a check to the second predicate here:\n```c++\n((mine & ISMINE_WATCH_ONLY) != ISMINE_NONE) && ...\n```\nWhile redundant, it's not immediately obvious that invalid watch-only's were filtered out a few lines up. It would also guard against future oopses if a new type is ever added.",https://github.com/bitcoin/bitcoin/pull/13142#discussion_r185366924,185366924,src/wallet/wallet.cpp
promag,2018-05-02T23:39:31Z,`else if`?,https://github.com/bitcoin/bitcoin/pull/13142#discussion_r185668920,185668920,src/script/ismine.cpp
jimpo,2018-05-03T16:39:49Z,"commit: Make IsMine stop distinguishing solvable/unsolvable\n\nDoes this even need to be here? Wouldn't it just do the watchonly check at the end of the function anyway?\n\nEDIT: I see it is dropped in the next commit anyway.",https://github.com/bitcoin/bitcoin/pull/13142#discussion_r185864670,185864670,src/script/ismine.cpp
