practicalswift,2020-04-04 16:37:44,Concept ACK: less boost is better,https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609054980,609054980,
naumenkogs,2020-04-04 16:39:07,Concept ACK: it solved [the issue](https://github.com/bitcoin/bitcoin/issues/18517) I had.,https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609055282,609055282,
hebasto,2020-04-04 16:40:04,Concept ACK.,https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609055471,609055471,
ryanofsky,2020-04-04 16:55:00,"Updated ba8312c7dca427463c83acd490281bc35dde34b7 -> ad067a98ea1ca383898bf26d4abd00981246471f ([`pr/nosig.1`](https://github.com/ryanofsky/bitcoin/commits/pr/nosig.1) -> [`pr/nosig.2`](https://github.com/ryanofsky/bitcoin/commits/pr/nosig.2), [compare](https://github.com/ryanofsky/bitcoin/compare/pr/nosig.1..pr/nosig.2)) avoiding unneeded shared_ptr copies and cleaning up typedefs\nUpdated ad067a9",https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609057547,609057547,
ryanofsky,2020-04-05 12:33:20,"Updated 3d463addfe2859bc55916f61086aaab624132411 -> b5fea244e5ac38758d295203209b66bd5905d714 ([`pr/nosig.4`](https://github.com/ryanofsky/bitcoin/commits/pr/nosig.4) -> [`pr/nosig.5`](https://github.com/ryanofsky/bitcoin/commits/pr/nosig.5), [compare](https://github.com/ryanofsky/bitcoin/compare/pr/nosig.4..pr/nosig.5)) to destroy scheduler before callback list (no real change but makes more sense",https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609409312,609409312,
MarcoFalke,2020-04-05 22:33:11,ACK b5fea244e5ac38758d295203209b66bd5905d714,https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609495700,609495700,
ryanofsky,2020-04-05 23:25:36,"One way to test this change is to load and unload wallets repeatedly like in #18362. Each time a wallet is loaded and unloaded, a CValidationInterface instance gets registered and unregistered. If this is done during a sync when there are lots of UpdateTip and BlockConnected callbacks, it can be a good way to mix registrations with notifications and try to trigger deadlocks & segfaults we've previ",https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609502600,609502600,
promag,2020-04-05 23:39:55,"Out of curiosity, have you considered a read write lock?",https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609504395,609504395,
sipa,2020-04-06 02:43:11,ACK 96176004a39c63fdd4ada1f07e55bc62ca0c447b,https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609537335,609537335,
MarcoFalke,2020-04-06 12:57:16,ACK d6815a2313158862d448733954a73520f223deb6,https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609777505,609777505,
promag,2020-04-06 13:05:33,"> Curious what the boost behavior is when registrations change during a call. Seems like it would have to make a snapshot copy or use a kind of versioning to be able to ignore additions / removals\n\nYes, that's the case, slots are called without any lock using a local list.",https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609781612,609781612,
laanwj,2020-04-06 14:25:34,"ACK d6815a2313158862d448733954a73520f223deb6\n\nI like the general direction of this (to move away from boost::signals2), and as it works around a problem with boost I think this is the preferable way to fix this (both in 0.20 and master).\n\n> While reviewing I thought it could make sense to define MainSignalsInstance destructor that would assert nothing is registered.\n\nFWIW asserts in de",https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609827781,609827781,
hebasto,2020-04-06 14:29:48,re-ACK d6815a2313158862d448733954a73520f223deb6,https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609830139,609830139,
MarcoFalke,2020-04-06 14:53:42,"> FWIW asserts in destructors have turned out to be pretty terrible in generating shutdown crashes in unexpected conditions such as errors. So I'm not sure I like this.\n\nIt could be something that is only enabled on `--enable-debug` for tests, something like #16136 ",https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609844047,609844047,
ryanofsky,2020-04-06 15:31:52,"Thanks for suggestions and reviews! I was pushing back on some suggestions that would have expanded scope of this PR or prevented it from being a refactor, but I'm working on a followup PR to implement these.",https://github.com/bitcoin/bitcoin/pull/18524#issuecomment-609866730,609866730,
promag,2020-04-04 17:15:53,So we add the same twice?,https://github.com/bitcoin/bitcoin/pull/18524#discussion_r403493465,403493465,src/validationinterface.cpp
promag,2020-04-04 17:16:57,How about local copy and then iterate it lock free?,https://github.com/bitcoin/bitcoin/pull/18524#discussion_r403493569,403493569,src/validationinterface.cpp
