jamesob,2018-10-05T08:16:20Z,Concept ACK,https://github.com/bitcoin/bitcoin/pull/14400#issuecomment-427283622,427283622,
DrahtBot,2018-10-05T10:41:42Z,"<!--e57a25ab6845829454e8d69fc972939a-->\n\nThe following sections might be updated with supplementary metadata relevant to reviewers and maintainers.\n\n<!--174a7506f384e20aa4161008e828411d-->\n### Conflicts\nReviewers, this pull request conflicts with the following ones:\n\n* [#14397](https://drahtbot.github.io/bitcoin_core_issue_redirect/r/14397.html) (Faster duplicate input check in CheckTransa",https://github.com/bitcoin/bitcoin/pull/14400#issuecomment-427321409,427321409,
JeremyRubin,2018-11-25T01:18:30Z,"@MarcoFalke rebased, clang-formatted, etc.\n\nfailure is unrelated to this PR now (one of the PBST tests)",https://github.com/bitcoin/bitcoin/pull/14400#issuecomment-441407927,441407927,
JeremyRubin,2018-11-25T01:54:46Z,"should be ready to merge now, pending integration tests.\n\nThanks!",https://github.com/bitcoin/bitcoin/pull/14400#issuecomment-441409171,441409171,
jb55,2018-11-25T20:20:05Z,utACK e4eee7d09df7dc85ae7a0c5e68e1d84f580cc9f7\n,https://github.com/bitcoin/bitcoin/pull/14400#issuecomment-441469656,441469656,
MarcoFalke,2018-10-05T08:15:18Z,"nit: there is still trailing whitespace, which prevents this from getting merged. Could do clang-format-diff.py?",https://github.com/bitcoin/bitcoin/pull/14400#discussion_r222924748,222924748,src/bench/duplicate_inputs.cpp
practicalswift,2018-10-05T11:46:50Z,Choose another name: `state` is already used in this scope :-),https://github.com/bitcoin/bitcoin/pull/14400#discussion_r222977906,222977906,src/bench/duplicate_inputs.cpp
practicalswift,2018-10-05T11:47:12Z,Same here: Choose another name :-),https://github.com/bitcoin/bitcoin/pull/14400#discussion_r222977977,222977977,src/bench/duplicate_inputs.cpp
practicalswift,2018-10-05T11:48:06Z,Make this implicit conversion explicit :-),https://github.com/bitcoin/bitcoin/pull/14400#discussion_r222978161,222978161,src/bench/duplicate_inputs.cpp
practicalswift,2018-10-05T11:49:12Z,This is unused – please remove :-),https://github.com/bitcoin/bitcoin/pull/14400#discussion_r222978416,222978416,src/bench/duplicate_inputs.cpp
practicalswift,2018-10-05T11:55:10Z,"Make the implicit conversions here explicit :-)\n\nConversion from `uint32_t` to `int64_t` may theoretically alter value, so better make it explicit!",https://github.com/bitcoin/bitcoin/pull/14400#discussion_r222979714,222979714,src/bench/duplicate_inputs.cpp
JeremyRubin,2018-10-06T02:17:15Z,noting this is from existing code in bench/block_assemble.cpp,https://github.com/bitcoin/bitcoin/pull/14400#discussion_r223168767,223168767,src/bench/duplicate_inputs.cpp
JeremyRubin,2018-10-06T02:22:25Z,Please fix this everywhere in the codebase! This is done fairly frequently.,https://github.com/bitcoin/bitcoin/pull/14400#discussion_r223168858,223168858,src/bench/duplicate_inputs.cpp
MarcoFalke,2018-10-21T05:05:54Z,Are you still working on this?,https://github.com/bitcoin/bitcoin/pull/14400#discussion_r226847727,226847727,src/bench/duplicate_inputs.cpp
JeremyRubin,2018-10-21T08:33:14Z,"Ah I thought I did this -- I can take care of it soon. \n\nYes, I would like to see this merged",https://github.com/bitcoin/bitcoin/pull/14400#discussion_r226853254,226853254,src/bench/duplicate_inputs.cpp
JeremyRubin,2018-10-21T08:33:16Z,"Ah I thought I did this -- I can take care of it soon. \n\nYes, I would like to see this merged",https://github.com/bitcoin/bitcoin/pull/14400#discussion_r226853256,226853256,src/bench/duplicate_inputs.cpp
MarcoFalke,2018-11-25T01:38:23Z,"µnit: Could probably use something like `[&] { scheduler.serviceQueue(); }` to avoid `boost::bind`. Or if you prefer bind, use `std::bind`.\n\n```suggestion\n        thread_group.create_thread([&] { scheduler.serviceQueue(); });\n```",https://github.com/bitcoin/bitcoin/pull/14400#discussion_r236058189,236058189,src/bench/duplicate_inputs.cpp
