gmaxwell,2016-05-02T00:53:45Z,Concept ACK.\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-216086327,216086327,
dcousens,2016-05-02T01:27:24Z,utACK b3a9f85\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-216089832,216089832,
btcdrak,2016-05-02T02:22:30Z,utACK \n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-216093875,216093875,
jonasschnelli,2016-05-02T06:49:29Z,utACK b3a9f8592952569da50c77b277f7ab7146b6cbea\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-216117886,216117886,
MarcoFalke,2016-05-02T11:01:07Z,utACK b3a9f85\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-216200963,216200963,
laanwj,2016-05-05T10:50:36Z,"utACK https://github.com/bitcoin/bitcoin/commit/b3a9f8592952569da50c77b277f7ab7146b6cbea\n\n(maybe this could be taken even further, I'm not sure what you're rationale is to stop at e.g. ConnectBlock but not TestBlockValidity, but it's a good start)\n",https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-217123698,217123698,
pstratem,2016-05-05T16:35:54Z,@laanwj I was trying to fuzz these two functions and was unable to do so easily.\n\nIn the near future I'm certain I'll have the same issue elsewhere.\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-217203889,217203889,
jtimon,2016-05-20T10:25:39Z,Can you also pass Consensus::Params like in #7947 ? The diff shouldn't grow much and it would save us from changing exactly the same lines twice. Should also be better for fuzzing.\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-220571044,220571044,
pstratem,2016-05-20T11:26:26Z,@jtimon I made a decision not to pass Params() to keep the commit clean and obviously correct.\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-220581743,220581743,
jtimon,2016-05-20T11:40:39Z,"IMO the commit will remain clean and obviously correct. It's currently +11 -11, and I predict it to become +15 -13 or less. \nDo you want me to provide a fixup! commit for you to decide whether  to squash it or not?\n",https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-220584119,220584119,
pstratem,2016-05-20T11:55:06Z,@jtimon Nope I think this is as much change as I want to be in this PR.\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-220586651,220586651,
jtimon,2016-05-20T12:14:53Z,"If we do the thing in 2 steps, it will be about 2 commits +11 -11.\nI guess I'll open competing PR then... \n",https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-220590062,220590062,
jtimon,2016-05-20T12:51:19Z,Opened #8077 which also does ContextualCheckBlockHeader (+16 -17). I believe that's still clean and obviously correct (even if the scope is bigger).\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-220597060,220597060,
MarcoFalke,2016-06-01T19:32:50Z,#8077  has been merged.\n,https://github.com/bitcoin/bitcoin/pull/7985#issuecomment-223100137,223100137,
jtimon,2016-05-20T10:23:20Z,"If it's not too late for bikeshedding...all the times I've tried to do this, I've named the variable nTime instead of  nAdjustedTime. Not important, but would make https://github.com/jtimon/bitcoin/commits/jt easier to rebase to 0.13...\n",https://github.com/bitcoin/bitcoin/pull/7985#discussion_r64020031,64020031,src/main.cpp
pstratem,2016-05-20T11:14:17Z,except... it's actually the adjusted time\n,https://github.com/bitcoin/bitcoin/pull/7985#discussion_r64025537,64025537,src/main.cpp
jtimon,2016-05-20T11:37:44Z,Whatever...no big deal\n,https://github.com/bitcoin/bitcoin/pull/7985#discussion_r64027803,64027803,src/main.cpp
