btcdrak,2016-05-15T20:57:33Z,We definitely need something like this for issues so people can more accurately report bugs.\n,https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-219310115,219310115,
AmirAbrams,2016-05-16T03:06:29Z,Added an issue template as well.\n,https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-219339524,219339524,
jonasschnelli,2016-05-16T07:46:32Z,I think we should add this to https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md (this page is referred to while creating an issue or PR).\n,https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-219368241,219368241,
MarcoFalke,2016-05-16T08:27:05Z,"@jonasschnelli I am assuming GitHub will auto-fill the body of the pull or issue with this template, so you don't need to refer to it.\n",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-219374594,219374594,
AmirAbrams,2016-05-20T04:02:04Z,I will add the Fixes # to the PR template and squash my commits into one.\n\nIs this something you want to implement (ACK or NACK)?\n,https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-220512211,220512211,
fanquake,2016-05-21T12:34:54Z,"@AmirAbrams It is something worth adding, but make the fixes you've mentioned before asking for ACK/NACKS.\n",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-220775485,220775485,
AmirAbrams,2016-05-21T18:40:12Z,"@fanquake, I made the requested change and squashed my commits into one.  \n\nYou can test these templates by adding an issue or PR to my forked Bitcoin repo: https://github.com/amirabrams/bitcoin\n\nPlease let me know if there are any more changes you need to these templates. Thanks!\n",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-220793757,220793757,
arowser,2016-05-25T08:43:32Z,Can one of the admins verify this patch?\n,https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-221510393,221510393,
fanquake,2016-05-27T08:22:17Z,"PR Template:\n- mention adding [skip-ci] so that trivial/doc only changes don't get run on Travis.\n- You can probably remove the more-questions section\n- Add a note about adding `[doc]` or `[RPC]` etc to the title.\n- Screenshots can be added, they are necessary for GUI changes.\n- Could have a `what machines/os have you tested/compiled this code?`\n\nIssue Template:\n- What version of bitcoin-c",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-222088922,222088922,
MarcoFalke,2016-05-27T09:07:13Z,"> mention adding [skip-ci] so that trivial/doc only changes don't get run on Travis.\n\nIt now has to be somewhere in the commit body instead of just the GitHub pull. Taking into account that travis is now pretty fast due to efficient caching, it may not be worth to mention it in the template.\n\nIn general I am not in favor of adding too much to the pull request template, because stuff that is no",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-222097861,222097861,
AmirAbrams,2016-06-03T17:59:39Z,"@fanquake, I will make your requested changes, move the templates to a hidden `.github`directory and squash my commits but don't want to waist time if the Bitcoin team does not want to implement these github templates.\n\n@MarcoFalke, please let me know how you want to proceed with this PR.\n\nThanks!\n",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-223649271,223649271,
MarcoFalke,2016-06-03T18:21:04Z,"I think having an issue template makes sense to preempt https://github.com/bitcoin/bitcoin/issues/8130#issuecomment-223238405 et al.\n\nI am not convinced about the pull template, but I am happy to hear other opinions. (Preferably by people who regularly create pulls)\n",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-223654682,223654682,
paveljanik,2016-06-03T19:46:21Z,"I do not think PR template is needed. But for Issue, it is OK!\n",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-223676340,223676340,
fanquake,2016-08-08T02:55:31Z,"@AmirAbrams Consensus seems to be to add just an issue template, can you update this pull?\n\nI'd also suggest adding bitcoin specific sections to the issue template, such as\n- Is the issue reproducible?\n- Binary verrsion and  wether it's offical or self compiled.\n- Machine specs: CPU, RAM, Disk space & type etc\n- Debug log\n",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-238131385,238131385,
AmirAbrams,2016-08-10T16:38:08Z,"Yes, I will update the commit with your changes.\n",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-238925700,238925700,
MarcoFalke,2016-08-12T11:47:12Z,"Nit: Our preference is to use present-tense, imperative-style commit messages. (The default for git)\n",https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-239426352,239426352,
MarcoFalke,2016-08-12T11:47:21Z,utACK 3897668\n,https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-239426371,239426371,
laanwj,2016-08-16T06:05:28Z,utACK 3897668\n,https://github.com/bitcoin/bitcoin/pull/8058#issuecomment-240010947,240010947,
MarcoFalke,2016-05-16T08:28:41Z,We usually put `Fixes #----` in the body of the pull to indicate that an open issue is resolved. Not sure if having a section for this in every pull makes sense.\n,https://github.com/bitcoin/bitcoin/pull/8058#discussion_r63322759,63322759,PULL_REQUEST_TEMPLATE.md
