sipa,2012-03-05T22:45:04Z,Will this compile on windows/OSX/...?\n,https://github.com/bitcoin/bitcoin/pull/917#issuecomment-4333739,4333739,
mndrix,2012-03-05T23:18:15Z,"It does compile on OS X.  I don't have a Windows build machine, but [Microsoft documentation suggests](http://technet.microsoft.com/en-us/library/bb463209.aspx) that they support the necessary APIs.\n",https://github.com/bitcoin/bitcoin/pull/917#issuecomment-4334336,4334336,
luke-jr,2012-03-14T05:08:27Z,"""Microsoft Windows Services for UNIX"" != Windows. flockfile is not available on Windows (or at least not for MingW), and compiling it in next-test fails...\n",https://github.com/bitcoin/bitcoin/pull/917#issuecomment-4492403,4492403,
mndrix,2012-03-14T14:54:42Z,"I'll update the pull request to only activate `flockfile` and `funlockfile` when `#ifndef WIN32`.  We already do that for signal handlers.\n\nOne could also try using `CreateMutex` and `WaitForSingleObject` to support similar locking semantics on Windows.  I don't have a Windows development machine, so I'd be coding blind trying to implement that approach.\n",https://github.com/bitcoin/bitcoin/pull/917#issuecomment-4499630,4499630,
luke-jr,2012-03-14T15:03:06Z,"""Nobody"" has a Windows development machine. Windows builds are produced with gitian on Ubuntu.\n",https://github.com/bitcoin/bitcoin/pull/917#issuecomment-4499813,4499813,
mndrix,2012-03-14T22:30:42Z,I've updated the branch so that it's a noop on Windows\n,https://github.com/bitcoin/bitcoin/pull/917#issuecomment-4509778,4509778,
mndrix,2012-04-13T16:38:40Z,Thanks to ee12c3d60c4bb7b25e06709e92344d2d8b2c581e the problem @luke-jr mentioned is no longer an issue.  I've updated the pull request accordingly.\n,https://github.com/bitcoin/bitcoin/pull/917#issuecomment-5118533,5118533,
luke-jr,2012-04-14T19:48:05Z,ACK. Planning to (user-optionally) merge this in Gentoo for logrotate support.\n,https://github.com/bitcoin/bitcoin/pull/917#issuecomment-5133980,5133980,
laanwj,2012-04-16T07:58:52Z,Looks like a useful feature.\n\nHow does this interact with the log rotation / debug.log size-limiting inside bitcoin itself? I remember seeing some code for that.\n,https://github.com/bitcoin/bitcoin/pull/917#issuecomment-5147444,5147444,
mndrix,2012-04-16T14:36:03Z,"I don't know of any log rotation code inside bitcoin, but this code works well with the size limiting code.  `ShrinkDebugFile()` runs only during startup before debug.log is opened for writing.\n",https://github.com/bitcoin/bitcoin/pull/917#issuecomment-5153522,5153522,
laanwj,2012-04-16T16:03:14Z,"Ok, so that only runs at startup. That's good.\n\nACK\n",https://github.com/bitcoin/bitcoin/pull/917#issuecomment-5155722,5155722,
