laanwj,2021-09-21 12:19:34,Code review ACK fa922062c2eb122e6c4972f20b67723332adcb8c,https://github.com/bitcoin/bitcoin/pull/23054#issuecomment-923929680,923929680,
hebasto,2021-09-21 12:39:32,Concept ACK since #17786 :),https://github.com/bitcoin/bitcoin/pull/23054#issuecomment-923946841,923946841,
MarcoFalke,2021-09-21 14:05:34,"> Concept ACK since #17786 :)\n\nThanks, took the other diff from there.",https://github.com/bitcoin/bitcoin/pull/23054#issuecomment-924023343,924023343,
jnewbery,2021-09-21 14:42:48,Code review ACK fa08d4cfb1e3447a76093d46edc1c9de5ceee454,https://github.com/bitcoin/bitcoin/pull/23054#issuecomment-924057652,924057652,
MarcoFalke,2021-09-21 17:10:19,Failing CI can be ignored,https://github.com/bitcoin/bitcoin/pull/23054#issuecomment-924187231,924187231,
jonatack,2021-09-21 12:38:20,"Feel free to ignore but if you retouch, while changing this function declaration and definition, could also do\n```suggestion\n    CTxMemPoolEntry(const CTransactionRef& tx, CAmount fee,\n```",https://github.com/bitcoin/bitcoin/pull/23054#discussion_r712996857,712996857,src/txmempool.h
jnewbery,2021-09-21 13:16:29,"Sorry for painting the bikeshed, but wouldn't standard project style be to put the body of the function on a new line?\n\n```suggestion\n      nSigOpCostWithAncestors{sigOpCost}\n  {}\n```",https://github.com/bitcoin/bitcoin/pull/23054#discussion_r713029475,713029475,src/txmempool.cpp
jnewbery,2021-09-21 13:17:07,What do you think about initializing this (and perhaps `nCountWithDescendants` and `nCountWithAncestors`) with default initialization rather than in the initializer list?,https://github.com/bitcoin/bitcoin/pull/23054#discussion_r713030035,713030035,src/txmempool.cpp
MarcoFalke,2021-09-21 13:59:11,"Thanks, done",https://github.com/bitcoin/bitcoin/pull/23054#discussion_r713070398,713070398,src/txmempool.h
MarcoFalke,2021-09-21 13:59:30,"Thanks, done",https://github.com/bitcoin/bitcoin/pull/23054#discussion_r713070716,713070716,src/txmempool.cpp
MarcoFalke,2021-09-21 14:00:12,"Clang-format accepts the trailing `{}`, so I think it is fine",https://github.com/bitcoin/bitcoin/pull/23054#discussion_r713071369,713071369,src/txmempool.cpp
JeremyRubin,2021-09-21 17:29:24,"I don't see a reason to not use the initializer list for these fields, seems more consistent style wise.",https://github.com/bitcoin/bitcoin/pull/23054#discussion_r713265295,713265295,src/txmempool.h
MarcoFalke,2021-09-21 18:42:18,"I changed this because several people asked me to, see https://github.com/bitcoin/bitcoin/pull/23054#discussion_r713030035",https://github.com/bitcoin/bitcoin/pull/23054#discussion_r713323715,713323715,src/txmempool.h
