emilengler,2019-08-23 17:13:52,Concept ACK,https://github.com/bitcoin/bitcoin/pull/16689#issuecomment-524393265,524393265,
jonatack,2019-08-23 23:08:42,"e.g. s/chain\n""/chain.\n""/ and s/one\n""/one.\n""/",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317327358,317327358,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:11:02,"Suggestion: s/Only returns true if transaction is a coinbase one./True if the transaction is a coinbase, otherwise false./\n\nThough https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317281171 should be handled first.",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317327692,317327692,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:13:01,It would be nice to align the horizontal spacing of this entire section. ,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317328003,317328003,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:15:13,Grammar fix: s/List of txid with which this transaction is conflicting./List of txids that conflict with this transaction./,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317328316,317328316,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:19:42,Other half of https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317326379. This line should be moved to before TransactionDescriptionString() -- it's in the wrong place.,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317328944,317328944,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:23:54,"""Only returned"" means what? Maybe it's just me, but this and the rest of the sentence isn't clear.\n\nnit: missing period at end of sentence.",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317329490,317329490,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:27:07,Same here as for the identical line above https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317329490.,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317329869,317329869,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:30:07,nit: It looks like you added a tab at the start of this line.,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317330286,317330286,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:30:31,nit: It looks like you've added a tab at the start of this line.,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317330339,317330339,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:31:47,nit: another tab.,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317330490,317330490,src/wallet/rpcwallet.cpp
jonatack,2019-08-23 23:36:12,"s/'true'/True/\n\nPossibly: s/Only available for/Only applies to/",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317331063,317331063,src/wallet/rpcwallet.cpp
promag,2019-08-25 01:33:10,Agree.,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317379171,317379171,src/wallet/rpcwallet.cpp
promag,2019-08-26 14:56:04,"nit, try to have it aligned with surrounding lines.",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r317643826,317643826,src/wallet/rpcwallet.cpp
meshcollider,2019-09-10 02:31:13,"Not sure if this was a deliberate removal but `comment` is still a field which might be present, among others.\n```\nfor (const std::pair<const std::string, std::string>& item : wtx.mapValue)\n        entry.pushKV(item.first, item.second);\n```\n(From WalletTxToJSON)\n",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r322529373,322529373,src/wallet/rpcwallet.cpp
promag,2019-09-14 09:47:32,"Good catch, could mention that it is only present if not empty.",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r324419214,324419214,src/wallet/rpcwallet.cpp
fanquake,2019-09-16 09:43:50,@ariard Could you follow up here?,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r324585617,324585617,src/wallet/rpcwallet.cpp
ariard,2019-09-18 13:33:13,"Sorry for delay, pushed correction",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r325677402,325677402,src/wallet/rpcwallet.cpp
ariard,2019-09-18 13:33:33,You mean `blockhash` compare to `trusted` and others ? Don't get the misalignment here,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r325677585,325677585,src/wallet/rpcwallet.cpp
MarcoFalke,2019-09-18 19:33:56,"I think the first commit (moveonly) should actually be moveonly (via `git diff --color-moved=dimmed-zebra`).\n\nOtherwise the rendered whitespace will be messed up. (You can get the help text with the `help listtransactions` rpc)",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r325855575,325855575,src/wallet/rpcwallet.cpp
kristapsk,2019-09-18 22:07:57,"It returns array here. So `\""walletconflicts\"": [ \""TXID\"", ... ]` should be used instead. See #16869 as an example.",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r325914213,325914213,src/wallet/rpcwallet.cpp
MarcoFalke,2019-09-22 15:13:51,This is wrong. The field can never be `false`,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r326906064,326906064,src/wallet/rpcwallet.cpp
kristapsk,2019-09-23 21:26:51,"I think this would be better describing (based on #16869):\n```\n            ""    \""walletconflicts\"":[      (array) Conflicting transaction ids (double spends).\n""\n            ""        \""TXID\"",              (string) The transaction id.\n""\n```",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r327337231,327337231,src/wallet/rpcwallet.cpp
fanquake,2019-09-24 10:16:52,"Could you update this to be `(bool, optional)` and address [this comment](https://github.com/bitcoin/bitcoin/pull/16951#discussion_r327494296):\n\n> if this is optional, I think the help text should also mention when the value is present or not.",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r327535640,327535640,src/wallet/rpcwallet.cpp
ariard,2019-10-09 16:12:00,"Rewrote comment but not sure about optional, it seems to be reserved when a optional feature is involved like HD-wallet, which is not the case with IsTrusted",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r333104646,333104646,src/wallet/rpcwallet.cpp
MarcoFalke,2019-10-09 17:07:56,Why is this removed?,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r333129289,333129289,src/wallet/rpcwallet.cpp
MarcoFalke,2019-10-09 17:08:34,"I'd say to remove midnight, because we don't use that nomenclature anywhere else",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r333129566,333129566,src/wallet/rpcwallet.cpp
MarcoFalke,2019-10-09 17:13:32,"I liked the previous wording, which was more accurate.\n\n`.. means the transaction conflicted that many blocks ago.`",https://github.com/bitcoin/bitcoin/pull/16689#discussion_r333131838,333131838,src/wallet/rpcwallet.cpp
ariard,2019-10-09 18:29:12,Corrected,https://github.com/bitcoin/bitcoin/pull/16689#discussion_r333166289,333166289,src/wallet/rpcwallet.cpp
