jmcorgan,2017-05-22T20:11:32Z,utACK,https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-303207030,303207030,
nopara73,2017-05-22T20:42:39Z,"For the record, previous discussions: https://github.com/bitcoin/bitcoin/pull/10417, https://github.com/bitcoin/bitcoin/pull/10428",https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-303214425,303214425,
ABISprotocol,2017-05-22T21:14:54Z,utACK,https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-303222061,303222061,
AllanDoensen,2017-05-22T21:53:34Z,NACK,https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-303230307,303230307,
mkwia,2017-05-22T22:07:08Z,utACK,https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-303233193,303233193,
hsjoberg,2017-05-23T12:10:33Z,utACK,https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-303378323,303378323,
forkwar,2017-05-23T12:55:09Z,utACK,https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-303388738,303388738,
hsjoberg,2017-05-24T09:48:45Z,"Perhaps the PR should see a rebase to 1 commit.\nThe commit titles for newest two give no value and only works in context with the first commit.",https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-303674284,303674284,
earonesty,2017-05-25T23:07:28Z,Maybe i did something stupid.  I'll reopen when I get to a laptop,https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-304148103,304148103,
gmaxwell,2017-05-25T23:21:53Z,"@earonesty  You overwrote your PR branch with master.  Since the changes being PR were removed github won't let the PR stay open (as there is nothing to merge).  I'm not sure if restoring the commits will fix it, you might have to open a new PR.",https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-304150335,304150335,
earonesty,2017-05-26T00:30:08Z,"Yeah, I tried to pull/rebase, and did something wrong.   Thx.",https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-304159575,304159575,
ajtowns,2017-05-26T05:55:10Z,"utACK\n\nI was concerned by the issue luke-jr pointed out in #10428: ""There are circumstances where this won't upgrade cleanly from a non-BIP148 client: specifically, after July in the case where miners have produced invalid blocks, this will fail to reconsider them."" But I think what will actually happen in the case of a chain split with only minority hashpower on BIP148, is if you restart bitc",https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-304198555,304198555,
ajtowns,2017-05-26T14:30:36Z,"Okay, I've had a go at writing some functional tests, and I think the ""restart with -bip148 sometime after August 1st"" case is worse than I'd hoped -- a peer that mines on top of the chain they were following will get banned by BIP148 peers for passing on invalid blocks, and thus won't realise when the real BIP148 chain has overtaken their broken chain (at least until the BIP148 chain has somehow ",https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-304298046,304298046,
ajtowns,2017-05-27T07:14:56Z,"I've made a pull request with a draft of a functional test and the ""prev block invalid"" DoS level changed to 0 when -bip148 is active: https://github.com/earonesty/bitcoin/pull/2\n\nI'm still getting less peer connectivity than I expect and I'm not really seeing why. For me, just enough peers remain connected for the entire network to achieve consensus, but that seems like it's due to luck...",https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-304434172,304434172,
ghost,2017-05-27T16:04:52Z,"utACK\n\nLooking upon the concerns of other reviewers, I'd prefer if there is a modification to the Title of the client or an identifying message that informs that the user is indeed signalling towards BIP148, I can see scripts that could intentionally add this flag without the user knowing (although really-highly-unlikely)",https://github.com/bitcoin/bitcoin/pull/10442#issuecomment-304460866,304460866,
