matt-auckland,2019-01-21T11:28:57Z,ACK - looks good to me,https://github.com/bitcoin/bitcoin/pull/15222#issuecomment-456042160,456042160,
Sjors,2019-01-23T11:22:22Z,Trailing whitespace,https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250153486,250153486,doc/dependencies.md
Sjors,2019-01-23T11:25:41Z,"Nit, add: ""on (cross-compliation to) macOS.""",https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250154469,250154469,doc/dependencies.md
merland,2019-01-23T11:48:38Z,"fixed, thanks.",https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250161307,250161307,doc/dependencies.md
merland,2019-01-23T11:48:59Z,good.,https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250161399,250161399,doc/dependencies.md
flack,2019-01-23T13:39:29Z,"Nit: would be nice if the dependency names used the same capitalization as in the table above (MiniUPnPc, ZeroMQ, Berkeley DB, Qt). ",https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250197273,250197273,doc/dependencies.md
flack,2019-01-23T13:40:32Z,`librsvg` is not listed in the table. Should it be added?,https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250197637,250197637,doc/dependencies.md
merland,2019-01-23T14:56:19Z,"Good catch. It was added in an earlier commit, but hence forgotten... Will update.",https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250228228,250228228,doc/dependencies.md
merland,2019-01-23T14:56:44Z,Agreed! Will fix.,https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250228407,250228407,doc/dependencies.md
Sjors,2019-01-23T15:19:27Z,"There's a bunch of [CVE's](https://cve.mitre.org/cgi-bin/cvekey.cgi?keyword=librsvg) for librsvg, though afaik they all involve a specially crafted SVG file. Since we don't let users open arbitrary images, I doubt they matter. So that also means we don't have to recommend a minimum version.\n\n@laanwj thoughts on what to put in the CVE column in this case (current PR leaves it blank)? Either way",https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250238267,250238267,doc/dependencies.md
Sjors,2019-01-23T15:34:22Z,"Out of an abundance of caution, I would just set the minimum to 2.41.2 which fixes the [most recent CVE](https://nvd.nist.gov/vuln/detail/CVE-2018-1000041). It's almost a year old, which is ancient for most macOS users :-)\n\nHowever it seems our [macOS Gitian build](https://github.com/bitcoin/bitcoin/blob/62d40f19836349787ab2d19e1c5213bdf7e0db34/contrib/gitian-descriptors/gitian-osx.yml#L15) wo",https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250245164,250245164,doc/dependencies.md
laanwj,2019-01-24T15:39:56Z,"Right—if it's linked into bitcoin-qt itself—and not a side dependency used for tooling only—these kind of indirect vulnerabilities could still be a problem. In many cases exploitation involves multiple stages, where one exploit is able to insert something into memory which another bug will stumble over, eventually resulting in RCE. So in that case it should be mentioned.",https://github.com/bitcoin/bitcoin/pull/15222#discussion_r250657269,250657269,doc/dependencies.md
