kallewoof,2019-06-05 15:13:45,Concept ACK,https://github.com/bitcoin/bitcoin/pull/16152#issuecomment-499126716,499126716,
PastaPastaPasta,2019-06-06 02:37:59,agree on that probably being better in different pr,https://github.com/bitcoin/bitcoin/pull/16152#discussion_r291002193,291002193,src/validation.h
TheBlueMatt,2019-06-06 09:43:46,"No, we already have more than enough volume of useless ""move code around"" PRs. This is precisely the kind of thing that should be in the same PR in a separate commit.",https://github.com/bitcoin/bitcoin/pull/16152#discussion_r291101552,291101552,src/validation.h
laanwj,2019-06-06 10:15:17,let's not shedpaint this but imo it's fine to ombine this small code structure improvement with the change,https://github.com/bitcoin/bitcoin/pull/16152#discussion_r291114308,291114308,src/validation.h
NicolasDorier,2019-06-09 12:38:06,"Do not disable this, I will make a test later for allowing NODE_BLOOM services to whitelisted peers.",https://github.com/bitcoin/bitcoin/pull/16152#discussion_r291836112,291836112,test/functional/test_framework/messages.py
jnewbery,2019-06-09 12:54:01,No need to invalidate reviews. Just uncomment it in your PR.,https://github.com/bitcoin/bitcoin/pull/16152#discussion_r291836435,291836435,test/functional/test_framework/messages.py
jnewbery,2019-06-09 12:55:04,(also linting tools like vulture may flag an error if this constant is defined but not used),https://github.com/bitcoin/bitcoin/pull/16152#discussion_r291836456,291836456,test/functional/test_framework/messages.py
luke-jr,2019-06-10 04:48:54,That sounds like a bug in the linting tool IMO.,https://github.com/bitcoin/bitcoin/pull/16152#discussion_r291878617,291878617,test/functional/test_framework/messages.py
MarcoFalke,2019-06-11 11:42:47,"This is not a CLI change, but a change of default p2p behavior. (You remove the `NODE_BLOOM` service bit by default)",https://github.com/bitcoin/bitcoin/pull/16152#discussion_r292411469,292411469,doc/release-notes/release-notes-16152.md
TheBlueMatt,2019-07-12 17:43:17,"I dont know what the list of categories are, but I think a default parameter change is a CLI change. Happy to change to whatever.",https://github.com/bitcoin/bitcoin/pull/16152#discussion_r303082935,303082935,doc/release-notes/release-notes-16152.md
luke-jr,2019-07-21 12:15:31,No such alternative exists...,https://github.com/bitcoin/bitcoin/pull/16152#discussion_r305615139,305615139,doc/release-notes/release-notes-16152.md
