gmaxwell,2017-07-10T18:32:34Z,Should probably be tested on big endian. :),https://github.com/bitcoin/bitcoin/pull/10785#issuecomment-314194922,314194922,
ryanofsky,2017-09-05T21:55:25Z,"In commit ""Convert blockencodings to new serialization""\n\nWould be good to assert or throw if indexes[i] <= indices[i-1].",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137125177,137125177,src/blockencodings.h
ryanofsky,2017-09-05T23:28:24Z,Maybe mention in commit message if behavior is changing here. I guess the limit is higher now.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137139951,137139951,src/undo.h
ryanofsky,2017-09-05T23:30:46Z,"In commit ""Convert Qt to new serialization""\n\nI guess this is another place that could use IF_UNSERIALIZE if you decide to go this route.\n",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137140260,137140260,src/qt/recentrequeststablemodel.h
ryanofsky,2017-09-05T23:41:57Z,"In commit ""Convert Qt to new serialization""\n\nIt seems like if there were serialization wrappers from QString and proto types, the serialize and deserialize methods could be combined again.",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137141562,137141562,src/qt/walletmodel.h
ryanofsky,2017-09-05T23:58:14Z,"In commit ""Convert wallet/walletdb/crypter to new serialization\n\nMaybe another place to use IF_UNSERIALIZE. Or maybe there could be a wrapper that ignores ios_base errors on deserialization.\n",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137143490,137143490,src/wallet/wallet.h
ryanofsky,2017-09-06T00:02:43Z,Could use std::move here.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137143998,137143998,src/wallet/wallet.h
sipa,2017-09-06T18:34:39Z,@ryanofsky I don't see how to get rid of passing in the type to IF_UNSERIALIZE.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137353871,137353871,src/blockencodings.h
sipa,2017-09-06T18:36:04Z,"I think I'm talking about something else.\n\nIf you serialize a 16-bit wchar_t on a big endian system using this class, the characters will be serialized using 2 big endian bytes. If you then deserialize it on a little endian system, you won't get the same wchar_t values back. ",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137354186,137354186,src/serialize.h
sipa,2017-09-06T18:36:21Z,Done.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137354251,137354251,src/serialize.h
sipa,2017-09-06T18:36:42Z,Added static assert; I'd like to avoid runtime impact.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137354337,137354337,src/blockencodings.h
sipa,2017-09-06T18:36:52Z,Added static assert.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137354381,137354381,src/blockencodings.h
sipa,2017-09-06T18:37:03Z,I'd rather avoid runtime overhead.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137354421,137354421,src/blockencodings.h
ryanofsky,2017-09-06T19:24:44Z,"In that case, could add a comment like ""this code will produce an invalid serialization if indices are not increasing.""",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137366161,137366161,src/blockencodings.h
ryanofsky,2017-09-06T19:28:46Z,"> @ryanofsky I don't see how to get rid of passing in the type to IF_UNSERIALIZE.\n\nYou could pass it as a template parameter to CSerActionSerialize / CSerActionUnserialize and access it through ser_action.",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137367021,137367021,src/blockencodings.h
sipa,2017-09-07T06:25:13Z,"It could use slightly more memory when deserializing an otherwise invalid object, but that shouldn't change behaviour otherwise - if the number of transaction undo objects doesn't match the number of transaction in the block, it's invalid anyway.",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137454932,137454932,src/undo.h
sipa,2017-09-07T19:05:11Z,Introduced a wrapper for QDateTime instead.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137629183,137629183,src/qt/recentrequeststablemodel.h
sipa,2017-09-07T19:09:15Z,Done.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137630099,137630099,src/wallet/wallet.h
sipa,2017-09-07T19:09:43Z,Done using wrappers for QString and proto.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r137630189,137630189,src/qt/walletmodel.h
ryanofsky,2017-10-31T22:15:43Z,This should say `return AsStdStringWrapper<Q>(qstring)` or just `return {qstring}`,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r148142135,148142135,src/qt/guiutil.h
sipa,2017-11-02T16:07:20Z,Fixed! Thanks for figuring this out!,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r148580528,148580528,src/qt/guiutil.h
practicalswift,2018-11-17T11:00:32Z,Make this conversion explicit since it changes signedness?,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r234404667,234404667,src/compressor.h
practicalswift,2018-11-17T11:00:53Z,Make this conversion explicit since it changes signedness?,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r234404677,234404677,src/compressor.h
practicalswift,2018-11-17T11:01:46Z,Make this `explicit`? :-),https://github.com/bitcoin/bitcoin/pull/10785#discussion_r234404698,234404698,src/compressor.h
practicalswift,2018-11-17T11:02:24Z,The scope of `nVersion` can be reduced?,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r234404709,234404709,src/wallet/wallet.h
practicalswift,2018-11-17T11:02:40Z,`explicit`?,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r234404716,234404716,src/qt/walletmodel.h
practicalswift,2018-11-17T11:04:51Z,`ForRead` is no longer needed and can be removed from `serialize.h`?,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r234404768,234404768,src/test/dbwrapper_tests.cpp
sipa,2018-11-19T23:54:54Z,"The best I can do in this place is cast it to `I`, which isn't making anything interesting explicit, and will just hide the warning.\n\nThe issue is that CTxOut has a signed `int64_t`, but for UTXOs only ever contains unsigned values. I think the warning, if any, is appropriate, and should remain until the actual ""issue"" (the fact that the type in outputs doesn't match its assumptions) is fixed.",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r234825855,234825855,src/compressor.h
practicalswift,2018-11-20T06:51:04Z,Makes sense! Thanks for the clarification.,https://github.com/bitcoin/bitcoin/pull/10785#discussion_r234885986,234885986,src/compressor.h
laanwj,2019-11-26T14:23:56Z,"This is no longer an ""if"" :smiley: ",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r350770408,350770408,src/qt/sendcoinsrecipient.h
sipa,2019-11-26T16:16:51Z,"Oops, accident revert added in a rebase. Fixed.",https://github.com/bitcoin/bitcoin/pull/10785#discussion_r350842277,350842277,src/qt/sendcoinsrecipient.h
