btcdrak,2016-01-05T03:19:49Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-168881433,168881433,
jonasschnelli,2016-01-05T08:08:06Z,Concept ACK.\nSome concrete use-cases would be nice.\nNice to see the new RPC commands `cs_main` lock free.\n,https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-168930592,168930592,
sdaftuar,2016-01-05T14:28:02Z,Updated to remove dead code I inadvertently left in `rpcblockchain.cpp`.\n,https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-169015862,169015862,
sdaftuar,2016-01-06T18:43:59Z,"Here's an example of a tool that would benefit from the getdescendants function:\nhttps://github.com/sdaftuar/replace-by-fee-tools/blob/d0121b03d02c1a7e5e16425b55da1302ddf081aa/combine-transactions.py\n\nThis is a script that takes two txid's (that are signaling opt-in RBF) and combines them down to one -- consolidating duplicate output addresses (if any) and removing pay-to-self outputs, assumed ",https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-169416234,169416234,
sipa,2016-01-06T19:14:55Z,Ultra nit before reading the code: it's not obvious from the RPC names that\nit's about the mempool.\n,https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-169425046,169425046,
sdaftuar,2016-01-07T13:20:29Z,@sipa True.  Perhaps `getmempoolancestors/getmempooldescendants`?  I'm open to suggestions.\n\n@laanwj if this code is ok I think it would make sense to include this in 0.12\n,https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-169661350,169661350,
sdaftuar,2016-01-12T14:03:00Z,Updated with new RPC names (`getmempoolancestors` and `getmempooldescendants`).\n,https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-170920648,170920648,
luke-jr,2016-01-15T17:38:55Z,Any reason not to just add the ancestors/descendants info to getrawmempool (and also the getmempoolentry)?\n,https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-172027998,172027998,
sdaftuar,2016-01-15T17:48:08Z,"The goal was to avoid having to dump the entire mempool if you were only interested in a very small subset of it.  But I suppose there's no reason we couldn't also show the txid's of ancestors and descendants when you call `getrawmempool` (with verbose=true).  If that seems useful, I'm happy to add that.\n\n(edited)\nOh, right, you are suggesting that, and then yes I agree it would also make sense",https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-172031960,172031960,
sdaftuar,2016-01-18T15:45:40Z,"@luke-jr  On further thought, the downside to that is that doing the calculation could cause `getrawmempool` to get up to ~25x slower (default policy allows length 25 ancestor and descendant chains, and the calculation of ancestors and descendants requires walking those chains), which on a full mempool could be a meaningful -- and perhaps unacceptable? -- slowdown.\n\nThe other possibility would b",https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-172566178,172566178,
laanwj,2016-01-22T15:55:04Z,Concept ACK\n,https://github.com/bitcoin/bitcoin/pull/7292#issuecomment-173960074,173960074,
