luke-jr,2016-08-25T03:37:55Z,"FWIW, this is in Knots 0.13.0: 2da1d2832a29ac39e48c90b5b6cc3546989ce628\n",https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242273018,242273018,
jonasschnelli,2016-08-25T06:29:04Z,utACK https://github.com/bitcoin/bitcoin/pull/8583/commits/4c3e2cb2dfc36d686444b65da1885c380d3643f8\n\nAm I right? There is no BIP for XTHIN?\nIMO its highly recommended to link the section comments in `protocol.h` to some specification papers.\n,https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242292744,242292744,
rebroad,2016-08-25T07:09:28Z,"@jonasschnelli #5876 makes no reference to a BIP either. Good idea though. Are there BIPS for GETUTXO and XTHIN? As far as I know there's a ""BUIP"" for XTHIN but not a BIP, but given XTHIN is being used by Classic, Unlimited, Bitcoin XT, to name a few I think it's somewhat redundant (the BIP) now.\n",https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242299473,242299473,
jonasschnelli,2016-08-25T07:18:57Z,GETUTXO is described in BIP 64.\nThe only think I could find for XTHIN is https://bitco.in/forum/threads/buip010-passed-xtreme-thinblocks.774/\n\nNot sure if we should add display support if there is no BIP available.\n,https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242301284,242301284,
gmaxwell,2016-08-25T07:20:25Z,Give it six months to see if it even exists on the network then. I'm somewhat doubtful it will. (it's not like this display does anything actually useful in any case)\n,https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242301545,242301545,
laanwj,2016-08-25T07:35:27Z,"No strong opinion about whether to add this or not, I don't think it really hurts. It's not like the bit can be used for anything else at the moment. If it dies out in six months, it can be removed again.\n",https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242304572,242304572,
sipa,2016-08-25T07:36:55Z,No strong opinion.\n,https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242304877,242304877,
gmaxwell,2016-08-25T07:37:24Z,"thats true too, mine was a 'meh, don't bother' not a 'no dont'.\n",https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242304977,242304977,
laanwj,2016-08-25T07:40:40Z,"Yes, I agree it's a waste of time\n",https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242305626,242305626,
jonasschnelli,2016-08-25T07:47:30Z,"NACK from my side.\nI think we should not reserve a service bit for a feature that is available on 19 ""good"" node (just checked my seeder):\n\n```\nuser:~$ cat dnsseed.dump | grep 00000017 | grep ""    1   "" | wc -l\n19\n```\n",https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242306997,242306997,
MarcoFalke,2016-08-25T08:29:31Z,"There appears to be a [""detailed protocol specification""](https://github.com/BitcoinUnlimited/BitcoinUnlimited/blob/0.12.1bu/doc/bu-xthin-protocol.md#3-detailed-protocol-specification) which is basically the cpp code copied from the implementation after adding some section headings.\n",https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242315754,242315754,
MarcoFalke,2016-08-25T08:32:13Z,"utACK 4c3e2cb, but I also agree with @jonasschnelli \n",https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242316358,242316358,
sipa,2016-08-25T09:32:19Z,Code review ACK.\n,https://github.com/bitcoin/bitcoin/pull/8583#issuecomment-242330210,242330210,
